ID,BOX_NAME,ITEMS
4101027,5星戰姬自選禮盒（拉芙麗漂流記第10期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101028,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101029,5星戰姬自選禮盒（拉芙麗漂流記第11期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101030,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星特蕾莎碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片', '50 x 5星槲寄生碎片', '50 x 5星凱茜碎片']"
4101031,5星戰姬自選禮盒（拉芙麗漂流記第12期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星特蕾莎碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片', '50 x 5星槲寄生碎片']"
4101032,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星特蕾莎碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片', '50 x 5星槲寄生碎片']"
4101033,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星戴安娜碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星特蕾莎碎片', '50 x 5星莫妮卡碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星魯班碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片', '50 x 5星槲寄生碎片', '50 x 5星凱茜碎片']"
4101034,5星戰姬自選禮盒（拉芙麗漂流記第13期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星特蕾莎碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片', '50 x 5星槲寄生碎片', '50 x 5星凱茜碎片']"
4102001,5星戰姬自選禮盒（2週年限定）,"['50 x 5星司馬昭碎片', '50 x 5星于吉碎片', '50 x 5星路西法碎片', '50 x 5星郭嘉碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星水鏡碎片', '50 x 5星加百列碎片', '50 x 5星米迦勒碎片', '50 x 5星龐統碎片', '50 x 5星華佗碎片']"
4102002,6星娃娃自選禮盒（2週年限定）,"['50 x 6星修羅娃娃碎片', '50 x 6星辰星娃娃碎片']"
4102003,呂布&路西菲爾自選禮盒,"['50 x 5星呂布碎片', '50 x 5星路西菲爾碎片']"
4102004,5星戰姬自選禮盒（暑期劇場）,"['50 x 5星司馬昭碎片', '50 x 5星于吉碎片', '50 x 5星路西法碎片', '50 x 5星郭嘉碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星水鏡碎片', '50 x 5星加百列碎片', '50 x 5星米迦勒碎片', '50 x 5星龐統碎片', '50 x 5星華佗碎片']"
4102005,5星戰姬自選禮盒,"['50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102006,5星戰姬自選禮盒,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102007,6星娃娃自選禮盒,"['50 x 6星隱蹤娃娃碎片', '50 x 6星神威娃娃碎片', '50 x 6星風見娃娃碎片', '50 x 6星曇華娃娃碎片']"
4102008,6星娃娃自選禮盒,"['50 x 6星修羅娃娃碎片', '50 x 6星辰星娃娃碎片']"
4102009,光暗5星戰姬自選禮盒（拉芙麗漂流記第1期）,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102010,光暗5星戰姬自選禮盒,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102011,光暗5星戰姬自選禮盒（拉芙麗漂流記第2期）,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102012,光暗5星戰姬自選禮盒（新手扭蛋池）,"['50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102013,光暗5星戰姬自選禮盒（拉芙麗漂流記第3期）,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102014,光暗5星戰姬自選禮盒,"['50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102015,光暗5星戰姬自選禮盒（拉芙麗漂流記第4期）,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102016,光暗5星戰姬自選禮盒,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102017,光暗5星戰姬自選禮盒（拉芙麗漂流記第5期）,"['50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102018,光暗5星戰姬自選禮盒,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102019,光暗5星戰姬自選禮盒（拉芙麗漂流記第6期）,"['50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102020,光暗5星戰姬自選禮盒（拉芙麗漂流記第7期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102021,菲斯納&后羿自選禮盒,"['50 x 5星后羿碎片', '50 x 5星菲斯納碎片']"
4102022,光暗5星戰姬自選禮盒（拉芙麗漂流記第8期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102023,光暗5星戰姬自選禮盒（拉芙麗漂流記第9期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102024,光暗5星戰姬自選禮盒,"['50 x 5星菲斯納碎片', '50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星后羿碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102025,光暗5星戰姬自選禮盒（拉芙麗漂流記第10期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102026,光暗5星戰姬自選禮盒（拉芙麗漂流記第11期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102027,光暗5星戰姬自選禮盒（拉芙麗漂流記第12期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4102028,光暗5星戰姬自選禮盒（拉芙麗漂流記第13期）,"['50 x 5星阿帕忒碎片', '50 x 5星伊邪那美碎片', '50 x 5星呂布碎片', '50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星于吉碎片', '50 x 5星司馬昭碎片', '50 x 5星烏列爾碎片', '50 x 5星路西菲爾碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片', '50 x 5星水鏡碎片']"
4103001,熱點戰姬自選禮盒,"['50 x 5星芬里爾碎片', '50 x 5星巴尼拉碎片', '50 x 5星鄧艾碎片', '50 x 5星甘夫人碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星銀月碎片', '50 x 5星陸遜碎片', '50 x 5星張飛碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星圖靈碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星赤蓮碎片', '50 x 5星呂玲綺碎片', '50 x 5星諸葛亮碎片', '50 x 5星黃忠碎片']"
4103002,[精]熱點戰姬自選禮盒,"['50 x 5星以掃＆雅各碎片', '50 x 5星郭嘉碎片', '50 x 5星路西法碎片', '50 x 5星司馬昭碎片', '50 x 5星華佗碎片', '50 x 5星龐統碎片', '50 x 5星米迦勒碎片', '50 x 5星加百列碎片']"
4201001,普通資源自選禮盒,"['8000000 x 金幣', '8000000 x 經驗飲料', '6600 x 水晶刻刀', '6600 x 便當', '4000 x 使魔餅乾', '500 x 精華餅乾']"
4201002,普通資源自選禮盒,"['15000000 x 金幣', '15000000 x 經驗飲料', '12500 x 水晶刻刀', '12500 x 便當', '7500 x 使魔餅乾', '1000 x 精華餅乾']"
4201003,普通資源自選禮盒,"['25000000 x 金幣', '25000000 x 經驗飲料', '20000 x 水晶刻刀', '20000 x 便當']"
4201004,普通資源自選禮盒,"['180000 x 金幣', '180000 x 經驗飲料', '150 x 水晶刻刀', '150 x 便當']"
4201005,普通資源自選禮盒,"['20000000 x 金幣', '20000000 x 經驗飲料', '15000 x 便當', '15000 x 水晶刻刀', '15000 x 使魔餅乾', '3000 x 精華餅乾']"
4201006,普通資源自選禮盒,"['4000000 x 金幣', '4000000 x 經驗飲料', '3000 x 便當', '3000 x 水晶刻刀', '3000 x 使魔餅乾', '600 x 精華餅乾']"
4201007,普通資源自選禮盒,"['600000 x 經驗飲料', '400 x 便當', '400 x 水晶刻刀', '250 x 使魔餅乾', '30 x 精華餅乾']"
4201008,普通資源自選禮盒,"['2000000 x 經驗飲料', '1500 x 便當', '1500 x 水晶刻刀', '900 x 使魔餅乾', '120 x 精華餅乾']"
4201009,普通資源自選禮盒（古城掘金）,"['400000 x 金幣', '400000 x 經驗飲料', '300 x 便當', '300 x 水晶刻刀', '300 x 使魔餅乾', '60 x 精華餅乾', '30 x 使魔結晶']"
4201010,普通資源自選禮盒,"['25000000 x 金幣', '25000000 x 經驗飲料', '20000 x 水晶刻刀', '20000 x 便當', '20000 x 使魔餅乾', '4000 x 精華餅乾']"
4201011,普通資源自選禮盒,"['5000000 x 金幣', '5000000 x 經驗飲料', '4000 x 便當', '4000 x 水晶刻刀']"
4201012,普通資源自選禮盒,"['1000000 x 金幣', '1000000 x 經驗飲料', '750 x 便當', '750 x 水晶刻刀', '450 x 使魔餅乾', '55 x 精華餅乾']"
4201013,普通資源自選禮盒,"['280000 x 金幣', '280000 x 經驗飲料', '200 x 便當', '200 x 水晶刻刀']"
4201014,普通資源自選禮盒,"['2500000 x 金幣', '2500000 x 經驗飲料', '1800 x 便當', '1800 x 水晶刻刀']"
4201015,普通資源自選禮盒,"['100000 x 金幣', '100000 x 經驗飲料', '70 x 便當', '70 x 水晶刻刀']"
4201016,普通資源自選禮盒,"['400000 x 金幣', '400000 x 經驗飲料', '300 x 便當', '300 x 水晶刻刀', '300 x 使魔餅乾', '60 x 精華餅乾', '30 x 使魔結晶', '5 x 競技場門票']"
4202001,高級資源自選禮盒,"['60 x 高級扭蛋幣', '18 x 印章', '300 x 摸彩券', '36 x 高級摸彩券']"
4202002,高級資源自選禮盒,"['15 x 高級扭蛋幣', '5 x 印章', '80 x 摸彩券', '10 x 高級摸彩券']"
4202003,高級資源自選禮盒,"['2 x 印章', '8 x 高級扭蛋幣', '35 x 摸彩券', '4 x 高級摸彩券']"
4202004,高級資源自選禮盒,"['10 x 高級扭蛋幣', '3 x 印章', '50 x 摸彩券', '6 x 高級摸彩券']"
4202005,高級資源自選禮盒,"['3 x 印章', '10 x 高級扭蛋幣', '6 x 高級摸彩券']"
4202006,高級資源自選禮盒,"['14 x 高級扭蛋幣', '4 x 印章', '70 x 摸彩券', '8 x 高級摸彩券']"
4202007,高級資源自選禮盒,"['7 x 高級扭蛋幣', '2 x 印章', '34 x 摸彩券', '4 x 高級摸彩券']"
4202008,高級資源自選禮盒,"['10 x 高級扭蛋幣', '3 x 印章', '50 x 摸彩券']"
4203001,初級資源自選禮盒,"['4000000 x 金幣', '4000000 x 經驗飲料', '3000 x 便當', '3000 x 水晶刻刀']"
4203002,初級資源自選禮盒,"['1300000 x 金幣', '1300000 x 經驗飲料', '1000 x 便當', '1000 x 水晶刻刀']"
4203003,初級資源自選禮盒,"['500000 x 金幣', '500000 x 經驗飲料', '360 x 便當', '360 x 水晶刻刀']"
4203004,初級資源自選禮盒,"['30000000 x 金幣', '30000000 x 經驗飲料', '22500 x 便當', '22500 x 水晶刻刀']"
4203005,初級資源自選禮盒,"['2600000 x 金幣', '2600000 x 經驗飲料', '2000 x 便當', '2000 x 水晶刻刀']"
4203006,初級資源自選禮盒,"['2500000 x 金幣', '2500000 x 經驗飲料', '1700 x 便當', '1700 x 水晶刻刀']"
