id,text,option1,option2,option3
11060018,戦姫の秘密。諸葛亮は日頃から戦略家のように振る舞い、成熟した話し方をする。しかし実際のところは、友達を欲しがっている寂しがり屋だ。偶然耳にした琴の音に魅せられ、音楽部に入った諸葛亮は、琴の名手である戦姫と仲良くなった。その戦姫は次のうちの誰？,アパテー,ミカエル,周瑜
11060019,赤蓮はしっぽにゃんの部族の巫女であり、先輩の一行が火山への旅から戻った後で、しっぽにゃん一族を引き連れて幽夢学園にやってきた。次のうち、雲華学部の赤蓮が最も口にしそうなセリフはどれ？,あばばば、まだ食べられる、にゃん。全部、いただくにゃん！,干物、美味しいにゃん！,また遅刻したら、今度こそ、食べてやるにゃん！
11060020,風見学部で、魯班が残した様々な機械技術を研究する技術交流会を行うことになった。雲華学部の戦姫を交流会に派遣するとしたら、どの戦姫が最も適任だろうか？,クリス,黄忠,諸葛亮
12060001,戦闘時、雲華学部が有利に戦えるのはどの学部？,隠匿学部,風見学部,神威学部
12060002,雲華学部の戦姫が神威学部の戦姫を攻撃した際に得られる効果はどれ？,追加ダメージが30%、ブレイクが15%アップ,会心率を15％、会心ダメージを25％アップする。,何の効果もない
12060003,1つのチームに6人の雲華学部の戦姫を編成した場合、獲得できるオーラステータスは次のうちのどれ？,HP＋20%、ブレイク＋18%,HP＋20%、攻撃力＋15%,HP＋20%、ブロック＋30%
12060004,雲華学部の呂玲綺は、敵に「狂い蜂の印」を付与できる。その効果は次のうちのどれ？,狂い蜂の印を付与された敵が攻撃された場合、追加ダメージを受ける。,狂い蜂の印を付与された敵がダメージを受けた場合、その敵の周囲の敵にもダメージが拡散する。,狂い蜂の印を付与された敵が倒れた場合、敵全員にダメージを与える。
12060005,雲華学部には、ターン終了時にランダムで自身に付与された拘束効果を1つ無効化できる戦姫がいる。その戦姫とは、次のうちの誰？,ケーチェ,諸葛亮,ミスルト
12060006,敵を沈黙させて、アクティブスキルの発動を封じたい時、次の雲華学部の戦姫のうち、誰が最も適任か？,黄忠,赤蓮,呂蒙
12060007,雲華学部の赤蓮は、通常攻撃やアクティブスキルを行った際や拘束効果を付与された際に、敵に燃焼ダメージを与える。次のうち、赤蓮と最も相性がいい戦姫は誰？,曹操（神龍）,周瑜,ガブリエル
12060008,雲華学部のアサシン戦姫のうち、攻撃力が高く、自身や味方のHPを回復できる戦姫は誰？,呂玲綺,ケーチェ,劉表
12060009,雲華学部のヴェラは敵を微睡み状態にできる。微睡み状態の敵は受けるダメージがアップし、与えるダメージがダウンする。また、ある条件を満たすと、敵は自身の最大HPに応じたダメージを受ける。その条件とは、次のうちのどれか？,通常攻撃を行った時,燃焼ダメージを受けた時,拘束効果を受けた時
12060010,雲華学部のクリスによって結晶化された場合、敵が取れる行動は次のうちのどれ？,アクティブスキルや通常攻撃の実行,追撃やカウンターの実行,上記は全て実行不可
