描述,title,name,dialog,select_text
652,,*,ちょ、呂蒙！少しは場の空気をだな……,
653,,*,"
ほら、曹操さんがつけている王冠と、歴史神話の
教科書でしか見たことのないような皇帝の衣装……
きっと皇帝になる夢を実現しようと
頑張っているんだよ……",
654,,呂蒙,えぇ、でもここは学園よ？\n大昔の神話大陸の宮殿じゃないし、\nさすがにその一人称は恥ずかしすぎるわ！,
655,,呂蒙,もう、聞いているこっちがゾワゾワしちゃうわ。,
656,,*,シーッ！少しは後の事も考えろよ！\n聞かれたらどうする？,
657,,張郃,曹操様！いつ戻って来たのですか？\n任務は、果たせたのですか？,
658,,張郃,あと、その格好……\nなんか、色々とお変わりに……,
659,,曹操,ふん、任務とは余が真実を探るための\n言い訳にしか過ぎない。,
660,,曹操,余は今、ついに分かったのだ。,
661,,呂蒙,ええ、わたしも分かったわ！\n曹操さんのこの変わりよう、いわゆる中二病ね！,
662,,呂蒙,プークスクス……\nまさか栄誉ある風紀委員だった曹操さんが、\nそんな伝説の病にかかるなんて。,
663,,*,お前なぁ……,
664,,張郃,黙りなさい！曹操様の事を全く知らないくせに！,
665,,,"
手をあげようとした張郃を止めたのは、
意外にも曹操だった。
彼女は相変わらず読めない表情のままで、
呂蒙の言葉に全く反応していない様子だった。",
666,,曹操,良い、張郃。\n生まれ変わった余が手にした力を、\nお主に少し見せてあげよう。,
667,,*,呂蒙！？おい、呂蒙！\n大丈夫か？返事をしてくれ！,
668,,呂蒙,せ、先輩……\nわたし……生きてる……生きてるよ……,
669,,呂蒙,でも……体に力が……\nこれが、スライムの気持ちなのかな……？,
670,,*,意外と余裕だな、おい……,
671,,*,曹操！いったい呂蒙に何をしたんだ？,
672,,張郃,"
先輩、呼び方にご注意を。
今、先輩の目の前に立っているのはまさしく、
天命に選ばれし龍の伝承者にして真実の守護者、
最強の女王――曹操様よ！",
673,,*,そんな売れないラノベのタイトルっぽい称号、\nよく一瞬で思い浮かぶな……,
674,,張郃,ラノベ？,
675,,*,あ、いや、何でもないよ。こっちの話。\nうん、凄いね、曹操様……,
676,,曹操,ふん、一時的に呂蒙の力を奪っただけだ。\n暫くすれば自然に回復する。,
677,,曹操,だが、覚えておけ、この世は所詮弱肉強食だ。,
678,,曹操,次に歯向かうと言うのならば、容赦はしない。\n行くぞ、曹操。,
679,中二末期,*,呂蒙、体調はどうだ？少し良くなったか？,
680,,呂蒙,えっとね、\nスライムからお餅ぐらいに成長したかな。,
681,,呂蒙,柔らかくて弾力のあるお餅……\nじっくり網焼きがいいな～。えへへ……,
682,,,そう言って、呂蒙の腹が盛大に鳴った。,
683,,*,いや、スライムは餅に成長しないし。\n第一、今はそれどころじゃないだろう……,
684,,*,曹操さんが急にあんな格好で学園に戻って来るし、\n昔よりどこか冷たいような雰囲気だったし、\n先輩として心配だよ……,
685,,呂蒙,へぇ～。\n先輩がここまで後輩思いだったとは、驚いたわ。,
686,,呂蒙,んじゃ、曹操さんの後をつけるわよ！,
687,,*,えっ？,
688,,呂蒙,なにボケっとしているのよ。先輩は、あの一人称が\n「余」の中二病っ子が心配なんでしょ？\n彼女の後について行けば、色々分かると思うわよ。,
689,,*,いや、でも、ほら……\nそれって、なんか変態っぽいじゃないか……？,
690,,呂蒙,"
もう、先輩ったら、
ここで人の目を気にしちゃいけないわよ！
あと、先輩が変態なのはみんな知っているから、
心配しなくていいわよ。",
691,,*,おい！誰が変態だ！,
692,,*,あとお前、方向間違ってないか？\nあいつらはさっき左の方へ行ったぞ！,
693,,呂蒙,バカねぇ、先輩。尾行調査には体力が必要だわ。\nだからまずは張飛食堂でお餅を買うわよ！\n今日は珍しい餡を使った限定品があるのよ！,
694,,*,なぁ、呂蒙……\nこの大人数で尾行も何もないと思うんだが……？,
695,,呂蒙,わたしも、まさか自分がこんなに\nモテモテだったなんて知らなかったわ。\nまさかお餅を食べに行ったらみんなに会うなんて。,
696,,呂蒙,シルバー先輩もバニラ先輩も、わたしが曹操さんに\nやられた事を聞いたら、協力するって言うし～。\nこれはもしかしてモテ期ってやつじゃない？,
697,,*,"
いや、モテてるのは餅だし。
シルバー先輩とバニラ先輩は、
曹操の状況に興味を持っただけだ！
そして肝心の曹操が見つからない……",
698,,バニラ,まぁまぁ、落ち着きましょう。\n前の人だかりで物理的に輝いている人が、\n恐らく曹操さんなのです。すごい冠ですね。,
699,,張郃,"
皆の衆！偉大なる統率者、曹操様の演説を聞けば、
一生役に立つ言葉だけでなく、今ならもれなく
限定ストラップ「伝国の玉璽」を1つプレゼント！
これは聞かない訳にはいかないわよ！",
700,,曹操,余こそ天命を受けし王。\n皆の者、余の言葉に耳を傾け、\nそして余の傘下に入るのだ！余と共に……,
701,,バニラ,……長く学園にいますが、\nここまで完璧な中二病を見たのは初めてなのです。,
702,,バニラ,"
ねぇ、シルバーさん。
曹操さんは確か、シルバーさんが与えた任務の為に
学園を離れていたのですよね？
一体どんな任務を与えたのですか？",
703,,曹操,余はこの世の真実を掴んだのだ。\n「会長」も「権力」も、\nただの子供騙しに過ぎない！,
704,,曹操,皆の者、余に従い、余と共に新しい世界を……,
705,,シルバー,いたって普通の任務だ。\nしかもあれ、中二病というより、\n変な服を着た怪しいセールスマンに見えないか？,
706,,バニラ,ふふっ……シルバーさん、それは言い過ぎです……,
707,,バニラ,そう言えば、彼女が握っている剣、\n前の物と違うようですね。,
708,,呂蒙,"
ねぇ、都市伝説か何かで聞いたことあるんだけど、
大昔の物って意識が芽生えたりして、
使い手を逆にコントロールするって話！
もしかしたら、あの剣も……",
709,,魏延,呂蒙さん、それぐらいにしましょう。\n何人かが怯えています。,
710,,魏延,剣に問題があるかどうか、\n奪ってみれば分かります！,
711,,曹操,ほぅ、余の青釭を奪うだと？\nお前にその力量などない！,
712,,曹操,それよりも余の元へ来い！\nお前が怯えている過去を、\n余が切り裂いてやろう。,
713,,呂蒙,シルバー先輩の言った通り、\nこれはもう目的を果たす為に\n手段を選ばないセールスマンだわ！,
714,,張郃,はぁ？呂蒙！\nそこでコソコソしてないで、出て来なさい！,
715,,曹操,良い、張郃。\n余の目にする入らない、真実が見えないザコだ。\n捨ておけ。,
716,,曹操,それよりどうだ、魏延。決まったか？,
717,,魏延,わ、私……い、いや……,
718,,バニラ,魏延さん、どうしたのですか！？,
719,,シルバー,曹操！魏延になにをした？,
720,我が道を進む者,*,呂蒙もさっき曹操に気力を奪われました！\n恐らくあの剣の効果です！,
721,,曹操,ほほぅ、意外と頭が回るようだな。\n少し侮りすぎたようだ。,
722,,曹操,倚天も確かに名剣だが、所詮余の技量が必要だ。\n覇業を成し遂げる為ならば、青釭の力が必要ぞ！,
723,,呂蒙,ねぇ、その古風な喋り方、そろそろやめない？\nこの場にいる人の中に、\n古典が苦手な人って結構いると思うわよ？,
724,,呂蒙,例えばほら、赤蓮さんとか、\nしーにゃんにバルでしょ？あとわたしも！\nそんなしゃべり方してたら会話が進まないわよ？,
725,,曹操,戯れ言を……,
726,,曹操,ふん、まぁ良い。\n魏延、お前も所詮この程度か？\nその程度で余に盾突くとは、笑わせる。,
727,,曹操,お前のその力、\n青釭を介して余が上手く使ってやろう。,
728,,呂蒙,やっぱりわたしの時と同じだわ！\n力を奪われると、全身に力が入らなくなって、\n動けなくなるのよ！,
729,,呂蒙,口で説得できないからって、\nそうやって力を奪うなんて！\nこれはもう強盗よ！強盗！,
730,,曹操,大事を成すためのささやかな犠牲だ。,
731,,曹操,他人の力も上手く御せぬ者に、\n覇業は成し遂げられない！,
732,,張郃,あぁ、曹操様カッコいい！\nちょっと意味分からないけど……（小声）,
733,,シルバー,屁理屈はいい、魏延の力を返して貰おう！,
734,,曹操,ヤツの力はこの剣の中にある。\n余の手から奪えるのなら、奪ってみるがいい！,
735,,バニラ,シルバーさん！大丈夫ですか！？,
736,,シルバー,クッ……大丈夫だ……,
737,,シルバー,まさか私とバニラでも太刀打ちできないとは……,
738,,曹操,先輩方は確かに強い。\nだが、ここは余の独擅場だ！,
739,,呂蒙,"
あっ、これわたし分かる！
今回は曹操がメインのストーリーだから、
わたし達がどんなに頑張っても意味がない、
ということよ！",
740,,*,メイン？ストーリー？\n呂蒙、とうとう壊れてしまったか……,
741,,曹操,さて、諸君！余の力を存分に見たはずだ。\n今ならばまだ、余と共に歩むことを許すぞ？,
742,,バニラ,ここまで高圧的な勧誘は見たことがないです……,
743,,曹操,仲間であれば、それ相応の礼を持って接しよう。\nだが余の仇となる者に、情けなどない！,
744,,曹操,余は忙しいのだ。\n借りた力は事を成した後に返そう。,
745,,曹操,暫し考える猶予をお前たちに与えよう。\nだが覚えておくが良い。\n余は既に、この世の真実を知っている。,
746,,曹操,さらばだ。,
747,,呂蒙,なによ、真実真実って！\nただ単純にセールストークで忙しいだけでしょ！\nそんなの、張郃以外は引っかからないんだから！,
748,1,,"
少し前、「エニグマ」こと呂布は、
フェンリルと共に学園を襲撃した。
学園にいた全員が全力を尽くしたが、
この二人には太刀打ちできなかった。",
749,,,皆が絶望している中、ミカエルとルシファーの\n魔力が共鳴し、互いを引き寄せ、\n二人は「ルシフェル」へと融合した。,
750,,,光と闇、\n本来相容れない二つの属性が強力なパワーを発揮し\n何とか呂布を撤退に追い込んだ。,
751,,,だが今、その四人はまた運命の導きにより、\n出会うのであった……,
752,,呂布,ここがお前の言う\n「シークレットチャレンジ」とやらなのか？,
753,,フェンリル,ああ、ザコ学園で噂になっててな。\nこれをクリアできりゃあ、\nヤツらの秘密を知ることができるらしい。,
754,,フェンリル,"
テメェもよく、
「己を知り彼を知らば……」とか言うだろう？
まぁ、オレからすりゃあ、圧倒的な力があれば、
んなもんなくても別に勝てると思うがな！",
755,,呂布,ふん、つまらん……\n幽夢について知らぬ事など……（小声）,
756,,フェンリル,あぁん？何か言ったか？,
757,,呂布,いや。それよりも、\nその秘密以外に何か収穫はないか？,
758,,フェンリル,あぁ？知らねぇよ！\n他に何か欲しいなら自分で聞いて来い！,
759,,呂布,ふん、そんな噂程度の情報、\n今後報告する必要はない。\n相変わらず思慮が足りんな、フェンリル……,
760,,フェンリル,チッ、テメェが情報が欲しいって言ったから、\nせっかくあのチューなんとかから\n聞いてきてやったのによ！,
761,,呂布,待て、この情報はチューリングから聞いたのか？,
762,,フェンリル,あぁ！そうそれ！\nチュー……リング？っていう名前のヤツ。\n変な喋り方だし、見たことねぇ攻撃法だったな……,
763,,呂布,行くぞ！そのチャレンジとやらを確認しよう。,
764,,フェンリル,チッ、相変わらずデタラメな強さしやがって……,
765,,呂布,この程度か……幽夢も落ちたもんだな……,
766,,フェンリル,テメェがおかしいだけだ！\nチッ……いつかコイツをブチのめしてぇが……\n今はまだ歯が立たねぇだろうな……（小声）,
767,,呂布,何をブツブツ言っている？\n行くぞ、後少しでクリアだ。,
768,2,ルシファー,まさかお利口さんがサボりとはな～？\nサボりの理由に私を使うなよ？,
769,,ミカエル,ルシファー、その変な呼び方はやめなさいと\n言ったわよね！私はただあなたが心配で、\nついて来てあげただけよ……,
770,,ルシファー,心配？なんの冗談だ。\n私はもう完全復活している。,
771,,ミカエル,へぇ、完全復活ねぇ？\n少し前、私に頼って来たのはどこの誰なのかな？,
772,,ルシファー,チッ……見てろよ、お利口さん。\nこれぐらい貴様がいなくとも、私一人で余裕だ！,
773,,,そう大見得を切ったルシファーだったが、\nシークレットチャレンジの\n第1ステージで敗北した……,
774,,モンスターA,シッシッシッ！\nなんだ？今日は一段とザコいヤツが来たぞ。,
775,,モンスターB,プークスクス……\nさーってそのザコをお昼代わりにでもしようか？,
776,,ミカエル,ルシファー！,
777,,ルシファー,ふん、笑いたきゃあ、笑えばいいさ……,
778,,ミカエル,ふふっ……私の知っているルシファーは、\nもっと諦めが悪い人よ。,
779,,ミカエル,行くわよ、「あの力」を使いましょう。\n私たちの本気を、見せてあげるわ。,
780,,ルシファー,はっ、御託はいい！こんな状況じゃなけりゃあ、\n貴様と同じ体を使う訳がない！,
781,,モンスターA,ほほぅ、ザコが2人から1人になったぞ？\nこりゃあ昼飯が減っちまったなぁ。,
782,,ルシフェル,その言葉があなた達の最後の言葉よ。\n光と闇が合わさったこの力、\n存分に味わうがいいわ！,
783,,ルシフェル,ふふっ……\n聖なる光と常世の闇の前にひれ伏しなさい！,
784,,ルシファーの声,はっ！さっきのは私の力だな。\n勝てたのは私のおかげだろう？お利口さん。,
785,,ミカエルの声,はいはい、さっき情けな～く負けたのは、\nどこの誰だったかしらね～？調子に乗っちゃって。,
786,,ルシファーの声,黙れ！それ以上は言うな！,
787,3,フェンリル,ここだな？ここのザコを一掃すりゃあ、\nアイツらが隠している秘密が分かる！,
788,,フェンリル,ハッハッハッハッ！\n震えながら死ぬがいい、ザコともが！,
789,,呂布,シッ！静かに、他に人がいるようだ。,
790,,ルシフェル,あなたは……呂布！？\nここでなにを……！,
791,,呂布,"
ふむ、その質問そのままお前に……
いや、「お前達」と言うのが正解か？
実に興味深いな……
でだ、お前たちこそ「秘密」を探りに来たのか？",
792,,ミカエルの声,あなた達の目的はやはり……,
793,,ルシファーの声,はっ！秘密とかどうでもいい。\n私はただ自分の力を試したいだけだ！\nまぁ、このお利口さんはな……,
794,,ミカエルの声,ちょっと、ルシファー！相手は謎が多い呂布よ！\nこれ以上教えては……,
795,,呂布,まぁ、そう緊張するな。\nここに来たということは、目的は一つだけだろう？,
796,,呂布,ここを通れば幽夢の秘密が分かる。\nどうだ？我々と協力するつもりはないか？,
797,,ミカエルの声,でも、あなたが噂通りの力を持っているのなら、\n私たちの協力がなくとも楽勝でしょう？,
798,,呂布,"
正直に言おう。今更、幽夢の秘密なんかよりも、
お前たちのような相容れない力が、
ここまで完璧に融合できることの方にこそ、
我は興味がある。",
799,,ルシファーの声,はっ！そこまで言うのなら、\n少し見せてやろうではないか！\nだが、最後に秘密を奪われて泣くなよ？,
800,,ミカエルの声,ルシファー！\n呂布には気をつけなさいと、何度言ったら……,
801,,呂布,はっ、いいだろう。,
802,,呂布,ハハッ、光と闇が合わさると、\nここまで強い力を発揮できるのか！\nふっ、いいものが見れた。行くぞ、フェンリル。,
803,,フェンリル,おい待てよ！\nマジで秘密をあいつらに譲る気か？,
804,,呂布,あの二人の力を見る方が、\n秘密なんかより何倍もの価値があるだろう。\nどうせ「秘密」と言っても、きっと……,
805,,フェンリル,ああ？きっとなんだ？,
806,,呂布,……なんでも無い、とにかく行くぞ。,
807,,ルシファーの声,おい、お利口さん、早く秘密を見てみろ！,
808,,ミカエルの声,だからその呼び方はやめてって\n何度も言ってるでしょう！,
809,,ルシファーの声,ふん、今この体の主導権を握っているのが\n貴様でなければ、自分で見てたわ！,
810,,ルシファーの声,あぁもう！どうでもいいから、\nミカエル、ミカエル様、ミカちゃん！\nとっとと宝箱の中身を見せろ！,
811,,ルシフェル,では、お楽しみターイム！,
812,,ミカエルの声,ふふっ、なーんだ……\nチューリングさんのいたずらだったのね。\n可愛いことするじゃない。,
813,,ルシファーの声,"
なんだよこれは……あいつの写真じゃねぇか！
何が「テヘ☆」だ！？
ふざけたサインまでしやがって！
んなもんいらねぇよ！",
814,,,二人の声は、\nこの場を立ち去ろうと少し離れていた場所にいた\n呂布とフェンリルに届いた。,
815,,フェンリル,チッ、あのチューなんとか、騙しやがったな……,
816,,呂布,チューリングの、写真……だと！？,
817,,フェンリル,おい？急にどうした？\n何かダメージ喰らってね？,
818,,呂布,あいつら、そこから離れたな……写真は……\nよし、フェンリル、お前は先に帰れ。\n少しやるべき事を思い出した。,
819,,フェンリル,テメェなんか変だぞ？やるべき事だぁ？\nここまで来たんだ、手伝ってやろうか？,
820,,呂布,いや、我一人で結構。むしろ一人の方が好都合だ。\nお前は気にしなくていい。\nというか絶対について来るなよ！絶対にだ！,
821,クリス1,クリス,で、でも、こんなこと……\n恥ずかしいです……先輩……（カァアア）,
822,,*,僕を信じて、クリス。\n大丈夫、僕は結構経験豊富な方だよ。,
823,,クリス,そ、それは……\nその、や、優しくしてくださいね、先輩……,
824,,*,あぁ、ゆっくりするから……,
825,,*,（クリスの荷物を持ち上げる）,
826,,*,う、うん。何か思った以上に重いね……\n何を入れてるんだい？,
827,,*,（格好つけた事、早くも後悔し始めたよ……）,
828,,*,（おっっも！！！手が千切れる……）,
829,,クリス,えっ、その、そんなに重たいですか？\nやはり私が自分で……,
830,,*,い、いや、あはは……思ったよりちょっと……\nほんのちょっと重かっただけさ……ゼェゼェ……,
831,,フェンリル,ふっ、チュー何とかから聞き出した情報によると、\n今日また新入りが来るらしいな！,
832,,フェンリル,丁度いい、ソイツを新しく考えた技の\n実験台にしてやろう！ハッハッハッハ！,
833,,フェンリル,おい！テメェ！,
834,,フェンリル,そうだ！テメェだ、キンピカ！\nテメェが噂の新入りか？,
835,,*,ゼェ……ゼェ……ク、クリス、気を付けろ！,
836,,クリス,うん？はじめまして、先輩。\n私に何かご用ですか？,
837,,フェンリル,（ふん。強いヤツだと聞いてたんだが、\n余裕ぶっこいているのか？\nそれとも、ただの世間知らずのお嬢ちゃんか？）,
838,,フェンリル,（ブツブツ）まぁ、いい。\nどっちにしろ、やることは変わらねぇ！,
839,,フェンリル,オレの技を喰らえ！,
840,,フェンリル,フン、この技はいまいちだったな……\nこんなんじゃあ、呂布に勝てねぇ……,
841,,フェンリル,まだまだ改良する余地があるか……良いだろう。\nハッハッハッハッ！,
842,,クリス,あれ？行っちゃった……\nなんだか可愛い先輩でしたね。\nちょっと性格が変わってる……感じでしたけど。,
843,,*,いやいや……あの子、\n可愛いが最も似合わない生き物だと思うよ……,
844,クリス2,魏延,先輩、新入生が来ると聞いて、\nお手伝いに来ました。,
845,,*,ゼェ……ゼェ……お、おお、魏延！\n助かるよ……クリス、この子は魏延だ……,
846,,クリス,初めまして、魏延先輩！\nクリスと申します！,
847,,魏延,先輩と呼ばれるのは初めてです……\n何か、不思議な感じですね。,
848,,魏延,（クリスの手を取る）\nクリスさん、宿舎まで案内しますよ！,
849,,クリス,はい！よろしくお願いします！,
850,,クリス,（今日初めて会ったはずなのに、\nなんだか懐かしい感じがします……\n魏延先輩とは良いお友達になれそうです！）,
851,,魏延,（優しい子でよかった。\n先輩、か……フフッ、頑張らないと！）,
852,,*,ハハッ。\n魏延もようやく先輩と呼ばれる日が来たか……\n良かった良かった！,
853,,*,（てか、手がもう……そろそろ限界！！！）,
854,,呂蒙,（角から急に現れる）\nいやぁ～今日は一段と良い天気だわ～。,
855,,呂蒙,えっ、あっ!？ヒャア！,
856,,*,あっ、ヤバい！ぶ、ぶつかる！,
857,,クリス,大丈夫ですか、先輩？,
858,,クリス,回復魔法をかけますね！,
859,,呂蒙,ごめんごめん、少しボーっとしちゃって……\nって、なんだ、先輩か～。じゃあ、大丈夫よね。,
860,,*,（痛ぇええ……ってあれ？痛くなくなってる……\n何かこう、力が漲ってくるような……）,
861,,*,ありがとう、クリス！,
862,,*,でもごめんね、荷物落としちゃって……,
863,,クリス,いえいえ、大丈夫ですよ！\n荷物なんかより、先輩の方が大事ですから！,
864,,*,あぁ……後輩の優しさが身に染みる……\n誰かさんと大間違いだねーー！,
865,,クリス,初めまして、先輩。クリスと申します。\n今日から宿舎に住むことになりました。\n不束者ですが、どうぞよろしくお願いします！,
866,,呂蒙,（うっ！？何この子、凄く礼儀正しいわ！？\nグッ……少しだけ良心が痛んできたわ……）,
867,,呂蒙,こんにちは。別に先輩って呼ばなくていいよ。\nわたしの事は呂蒙って呼び捨てでいいから。\nてか、先輩！何また女子宿舎に侵入しているのよ？,
868,,*,人にぶつかっておいてこの態度だよ……\n案内だよ！案内！,
869,,魏延,ふふっ……私と呂蒙さんが先輩……\n時間が過ぎるのは早いですね。,
870,,*,ああ、これからも、どんどん先輩になって、\n皆と楽しい学園ライフを過ごしたいな……,
871,,呂蒙,"
ねぇねぇ、クリス。
この先輩には気を付けた方がいいわよ！
この人、私たちみたいなカワイイ後輩たちに、
ちょっかい掛けるのが大好きなんだから！",
872,,*,新入生に変な事を吹き込むな！,
873,クリス3,,宿舎の案内がひと段落してから、\n魏延の提案で、皆で服屋に行った。,
874,,*,（いやぁ、さすが魏延！良い提案だ！\n眼福だな～。）,
875,,*,でも魏延、クリスは今日来たばかりなのに、\nどうして急に服屋に行こうと提案したんだ？,
876,,呂蒙,何とぼけてんのよ！先輩が魏延に頼み込んで、\nそうするように仕向けたんでしょ！\n後輩の色んな格好見たさに！,
877,,魏延,い、いえ、決してそういう事では……！\nその、ただの気まぐれですよ。\n天気も良いし、お買い物日和だと思っただけで……,
878,,呂蒙,えぇ～あやしい～。,
879,,魏延,（さっきクリスさんの荷物が地面に落ちた時、\nうっかり中を見ちゃったけど……）,
880,,魏延,（最低限の服しか入っていなかった……\nもしかしたら、服を買うお金がないのかな……）,
881,,魏延,（聞くわけにはいかないし、\nとりあえず服屋さんに連れて来たけど……）,
882,,クリス,あ、あの、先輩方、この服、どうでしょうか？,
883,,*,凄く似合うよ、クリス！,
884,,魏延,クリスさん、凄く綺麗ですよ！\nまるで宝石みたいにキラキラしています。,
885,,呂蒙,でもでも、わたしが選んだものの方が\nきっともっと似合うわ！ささ、これも試してみて！,
886,,クリス,あっ、はい……\n（試着室のカーテンを閉める）,
887,,劉禅,あれれ……チラッとカーテンの隙間から、\n何か飴みたいなキラキラした物が見えたわ！,
888,,劉禅,うふふ、美味しそう～！\n少しちょうだ～い！（引っ張る）,
889,,クリス,キャア！私の尻尾！？,
890,,劉禅,ハァ……驚いた……\n何なのあの恐ろしい飴は……,
891,,*,劉禅！\nそれはクリスの一部であって、食べ物じゃないよ！,
892,,劉禅,ええ……甘そうに見えるのに……残念……,
893,,クリス,その、はい、私もそう思ってました……,
894,,*,（って、自分で舐めたことあるんかい！？）,
895,,*,（やっば、一度そう思ったら、\n変な想像が頭の中に浮かぶ……）,
896,,呂蒙,うーん、あのクリスタル、\n一体何だろうね……？（ボソ）,
897,,*,まぁ、それはさておき。\nとりあえずここにある服は、入学祝いとして\n僕が買ってあげるよ！,
898,,*,学園生活、楽しんでね、クリス！,
899,,クリス,（にっこり）\nはい！ありがとうございます、先輩！,
900,,クリス,皆と、一生幸せに暮らせますように……！,
901,王異1,呂蒙,ふう、やっと抜け出せた！,
902,,呂蒙,もう先輩ったら！この前、\n調子いいこと言ってたのを懲らしめたからって、\nわたしにこんなキツイ特訓をさせるなんて！,
903,,呂蒙,魏延のおかげでなんとか抜け出せたから\n良かったけど……そうじゃなかったら、\n今頃また先輩に連れ戻されてたよ……,
904,,呂蒙,あれ、変な人が寝てる！,
905,,王異,……う～ん……,
906,,呂蒙,どうしよう。\nわたしだけじゃこの人に勝てそうもないし……,
907,,王異,誰が変な人ですって！,
908,,王異,ゴホン。自己紹介がまだだったわね。,
909,,王異,あたしは王異。\n魯班様の最も忠実なるしもべにして、\n正真正銘、普通の女の子よ！,
910,,呂蒙,王異……\n先輩が言っていた、あの新入生だ！,
911,,呂蒙,（ふふ、また後輩ができちゃった！\n「先輩」って呼んでくれるかな？）,
912,,呂蒙,わたしは呂蒙。よろしくね！\n困ったことがあったら、何でも聞いて！,
913,,王異,う～ん、まだ寝足りないわ……\n……よろしく……,
914,,呂蒙,………………,
915,,呂蒙,………………,
916,,呂蒙,（「先輩」って呼んでくれないの！？）,
917,王異2,呂蒙,こっちこっち！,
918,,王異,分かったわよ……,
919,,呂蒙,ほら、あそこがわたし達の寮。,
920,,呂蒙,ここから真っ直ぐ行ったところが、\nわたし達の教室だよ。,
921,,呂蒙,それと、あそこが花畑。\nいい？絶対にあそこの植物を傷つけたらダメだよ！,
922,,王異,（……もしかして、\n魯班様がここに何か特別な仕掛けを？）,
923,,呂蒙,ここがグラウンド。,
924,,呂蒙,目の前にあるのが風見学部。\nわたしが所属してる雲華学部は……,
925,,王異,そんな……\nこの建物、一体どんな設計になっているの？,
926,,王異,それに、よく見るとどの建物もそうだわ……\nありえない！！,
927,,呂蒙,そんな大袈裟な……,
928,,王異,分かってないわね！,
929,,王異,通常の金属で、こんな規模の建物を\n支えるなんてことは……不可能なのよ！,
930,,呂蒙,なんだか、\n自分だけの世界に入っちゃったみたい……,
931,,織田信長,お、新入りか。\nどうだ、我らが学園の眺めは？壮大なものだろう。,
932,,織田信長,新入生だというのに、\n随分と変わった格好をしているな。\n不思議なやつだ。,
933,,王異,な、何が悪いのよ！\n私の故郷では、これが普通なんだから！,
934,,織田信長,ふふ、面白いやつだ。\nそなたはどこから来たのだ……？,
935,王異3,織田信長,そうだったのか……,
936,,王異,それでもあたしは諦めないわ！\nいつか目的を果たす、その日まで！,
937,,織田信長,その意気だ！\nそなたなら必ずできると信じているぞ！,
938,,織田信長,何か助けが必要な時があれば、\n必ず助太刀しよう！,
939,,王異,感謝するわ、先輩！,
940,,織田信長,なに、困っている後輩を助けるのは、\n先輩として当然のことだからな！,
941,,呂蒙,なんだか、わたしは先輩として\nまだまだって感じがするなぁ……,
942,,織田信長,これからも励むがいい。いつの日か、\nそなた達が我を超える日が来るだろう。,
943,,呂蒙,本当ですか、信長先輩~~~！,
944,,織田信長,それで、王異。\nどの学部に入るかもう決めたのか？,
945,,王異,あたしは……,
946,,織田信長,もしまだ決めていないのなら、\n我らが風見学部に来るといい！,
947,,織田信長,そなたと風見学部の間には、\n奇妙な縁がある気がしてな。,
948,,,……,
949,,*,おかしいな……\nここで待ち合わせだって約束したはずなのに……,
950,,*,王異さんどこ行ったんだ～！？,
951,1,？？？,ハッハッハ！スマンな、またワシの勝ちぜよ！,
952,,後悔する生徒,そ、そんな……,
953,,？？？,ほんなら、チップは全てワシの物ぜよ。\nいや～、悪いにゃあ。,
954,,後悔する生徒,シクシク……今月は毎日もやしご飯だよ……,
955,,,幽夢学園の商店街には様々な店があり、\n生徒が個人で経営している店もあれば、\nサークルや学園役員が営業している店もある。,
956,,,ギャンブルに特化したこの店は、\n数多くのゲーム機やテーブルゲームが設置され、\n怪しい雰囲気を醸し出していた。,
957,,,そして今日、見慣れない顔が一人、\nこの店を訪ねて来た。,
958,,やじ馬A,ねぇ見た？あの人、運が良すぎない？,
959,,やじ馬B,さっきから連勝中よ……一体何者なの？,龍馬さん、程々に……ね？
960,,,目の前で豪快に笑うこの人の名前は坂本龍馬。\n学園の新入生だ。,
961,,,かつては傭兵として各地を転々し、\nその業界ではそれなりに名を挙げていた。\n……主に、良くない方のだが……,
962,,,その原因だが……,
963,,坂本龍馬,これはワシが正々堂々と勝ち取った成果ぜよ。\n何も問題なかろう。,……
964,,,正々堂々の「せ」の字もないような人が\nよく言うよ……,
965,,,"
カードゲーム中、
彼女は時々腰につけている鞘を撫でる。
傍から見れば単なる癖に見えるが、実はその鞘は、
カードを隠せるよう細工がしてあるのだ。",
966,,,こんなにも見え透いた手法なのに、\nどうして誰一人気付かないんだ……？\nうちの生徒たち、ちょっと良い子過ぎないか？,
967,,坂本龍馬,ハッハッハ！\n今日は良い場所を教えてくれて感謝ぜよ。\nいやぁ、儲かった儲かった！,
968,,,坂本龍馬――\nそう、この子は大のギャンブル好きであった。,
969,,張郃,ふ～ん……,
970,,坂本龍馬,次の挑戦者はいないがー？\nん？おまんらも見てないで、一緒に遊ぶぜよ。,
971,,坂本龍馬,（チッ……ちょっとやり過ぎたか……）,
972,,坂本龍馬,（わざと負けておくべきだったか……）,
973,,坂本龍馬,（まっ、今日はこれぐらいにしておくか。\nやり過ぎ厳禁っと……）,
974,,張郃,ねぇ、あなた！,嫌な予感がするぞ……
975,,坂本龍馬,(フッフッ、またカモが来たぞ。),
976,,張郃,私はここの経営者、張郃よ。\n楽しんでもらえてるようで何よりだわ。\n貴方、お名前を伺っても？,
977,,坂本龍馬,ワシは坂本龍馬。龍馬と呼んでくれ。\nお偉いさんがお出ましとは、一体何用だ？,
978,,張郃,ふふっ、龍馬さんね。ここまで強いプレイヤー、\n開店以来、貴方が初めてなの。,
