id,lv,next_id,exskill_id,cost,restore,effects,pas_skills
301010,10,301011,301001,1#1500000|27#105|216#260,27#500|216#1225,hp#97358|atk#0|spd#0|sklP#0,101010
301011,11,301012,301001,1#1550000|27#115|216#285,27#605|216#1485,hp#107093|atk#320|spd#0|sklP#0,101010
301012,12,301013,301001,1#1600000|27#125|216#310,27#720|216#1770,hp#116829|atk#640|spd#0|sklP#0,101010
301013,13,301014,301001,1#1650000|27#135|216#335,27#845|216#2080,hp#126565|atk#960|spd#0|sklP#0,101010
301014,14,301015,301001,1#1700000|27#145|216#360,27#980|216#2415,hp#136301|atk#1280|spd#0|sklP#0,101010
301015,15,301016,301001,1#1750000|27#155|216#385,27#1125|216#2775,hp#146037|atk#1600|spd#0|sklP#0,101010
301016,16,301017,301001,1#1800000|27#165|216#410,27#1280|216#3160,hp#155772|atk#1920|spd#0|sklP#0,101010
301017,17,301018,301001,1#1850000|27#175|216#435,27#1445|216#3570,hp#165508|atk#2240|spd#0|sklP#0,101010
301018,18,301019,301001,1#1900000|27#185|216#460,27#1620|216#4005,hp#175244|atk#2561|spd#0|sklP#0,101010
301019,19,301020,301001,1#1950000|27#195|216#485,27#1805|216#4465,hp#184980|atk#2881|spd#0|sklP#0,101010
301020,20,301021,301001,1#2000000|27#205|216#510,27#2000|216#4950,hp#194716|atk#3201|spd#0|sklP#0,101010|101020
301021,21,301022,301001,1#2050000|27#215|216#535,27#2205|216#5460,hp#204452|atk#3521|spd#2|sklP#0,101010|101020
301022,22,301023,301001,1#2100000|27#225|216#560,27#2420|216#5995,hp#214187|atk#3841|spd#2|sklP#0,101010|101020
301023,23,301024,301001,1#2150000|27#235|216#585,27#2645|216#6555,hp#223923|atk#4161|spd#4|sklP#0,101010|101020
301024,24,301025,301001,1#2200000|27#245|216#610,27#2880|216#7140,hp#233659|atk#4481|spd#4|sklP#0,101010|101020
301025,25,301026,301001,1#2250000|27#255|216#635,27#3125|216#7750,hp#243395|atk#4802|spd#6|sklP#0,101010|101020
301026,26,301027,301001,1#2300000|27#265|216#660,27#3380|216#8385,hp#253131|atk#5122|spd#6|sklP#0,101010|101020
301027,27,301028,301001,1#2350000|27#275|216#685,27#3645|216#9045,hp#262866|atk#5442|spd#8|sklP#0,101010|101020
301028,28,301029,301001,1#2400000|27#285|216#710,27#3920|216#9730,hp#272602|atk#5762|spd#8|sklP#0,101010|101020
301029,29,301030,301001,1#2450000|27#295|216#735,27#4205|216#10440,hp#282338|atk#6082|spd#10|sklP#0,101010|101020
301030,30,301031,301001,1#2500000|27#305|216#760,27#4500|216#11175,hp#292074|atk#6402|spd#10|sklP#10,101010|101020
301031,31,301032,301001,1#2550000|27#315|216#785,27#4805|216#11935,hp#301810|atk#6722|spd#12|sklP#10,101010|101020
301032,32,301033,301001,1#2600000|27#325|216#810,27#5120|216#12720,hp#311545|atk#7042|spd#12|sklP#10,101010|101020
301033,33,301034,301001,1#2650000|27#335|216#835,27#5445|216#13530,hp#321281|atk#7363|spd#14|sklP#10,101010|101020
301034,34,301035,301001,1#2700000|27#345|216#860,27#5780|216#14365,hp#331017|atk#7683|spd#14|sklP#20,101010|101020
301035,35,301036,301001,1#2750000|27#355|216#885,27#6125|216#15225,hp#340753|atk#8003|spd#16|sklP#20,101010|101020
301036,36,301037,301001,1#2800000|27#365|216#910,27#6480|216#16110,hp#350489|atk#8323|spd#16|sklP#20,101010|101020
301037,37,301038,301001,1#2850000|27#375|216#935,27#6845|216#17020,hp#360224|atk#8643|spd#18|sklP#20,101010|101020
301038,38,301039,301001,1#2900000|27#385|216#960,27#7220|216#17955,hp#369960|atk#8963|spd#18|sklP#30,101010|101020
301039,39,301040,301001,1#2950000|27#395|216#985,27#7605|216#18915,hp#379696|atk#9283|spd#20|sklP#30,101010|101020
301040,40,301041,301001,1#3000000|27#405|216#1010,27#8000|216#19900,hp#389432|atk#9604|spd#20|sklP#30,101010|101020|101040
301041,41,301042,301001,1#3050000|27#415|216#1035,27#8405|216#20910,hp#399168|atk#9924|spd#22|sklP#30,101010|101020|101040
301042,42,301043,301001,1#3100000|27#425|216#1060,27#8820|216#21945,hp#408904|atk#10244|spd#22|sklP#40,101010|101020|101040
301043,43,301044,301001,1#3150000|27#435|216#1085,27#9245|216#23005,hp#418639|atk#10564|spd#24|sklP#40,101010|101020|101040
301044,44,301045,301001,1#3200000|27#445|216#1110,27#9680|216#24090,hp#428375|atk#10884|spd#24|sklP#40,101010|101020|101040
301045,45,301046,301001,1#3250000|27#455|216#1135,27#10125|216#25200,hp#438111|atk#11204|spd#26|sklP#40,101010|101020|101040
301046,46,301047,301001,1#3300000|27#465|216#1160,27#10580|216#26335,hp#447847|atk#11524|spd#26|sklP#50,101010|101020|101040
301047,47,301048,301001,1#3350000|27#475|216#1185,27#11045|216#27495,hp#457583|atk#11844|spd#28|sklP#50,101010|101020|101040
301048,48,301049,301001,1#3400000|27#485|216#1210,27#11520|216#28680,hp#467318|atk#12165|spd#28|sklP#50,101010|101020|101040
301049,49,301050,301001,1#3450000|27#495|216#1235,27#12005|216#29890,hp#477054|atk#12485|spd#30|sklP#50,101010|101020|101040
301050,50,301051,301001,1#3500000|27#505|216#1260,27#12500|216#31125,hp#486790|atk#12805|spd#30|sklP#60,101010|101020|101040
301051,51,301052,301001,1#3550000|27#515|216#1285,27#13005|216#32385,hp#496526|atk#13125|spd#32|sklP#60,101010|101020|101040
301052,52,301053,301001,1#3600000|27#525|216#1310,27#13520|216#33670,hp#506262|atk#13445|spd#32|sklP#60,101010|101020|101040
301053,53,301054,301001,1#3650000|27#535|216#1335,27#14045|216#34980,hp#515997|atk#13765|spd#34|sklP#60,101010|101020|101040
301054,54,301055,301001,1#3700000|27#545|216#1360,27#14580|216#36315,hp#525733|atk#14085|spd#34|sklP#70,101010|101020|101040
301055,55,301056,301001,1#3750000|27#555|216#1385,27#15125|216#37675,hp#535469|atk#14406|spd#36|sklP#70,101010|101020|101040
301056,56,301057,301001,1#3800000|27#565|216#1410,27#15680|216#39060,hp#545205|atk#14726|spd#36|sklP#70,101010|101020|101040
301057,57,301058,301001,1#3850000|27#575|216#1435,27#16245|216#40470,hp#554941|atk#15046|spd#38|sklP#70,101010|101020|101040
301058,58,301059,301001,1#3900000|27#585|216#1460,27#16820|216#41905,hp#564676|atk#15366|spd#38|sklP#80,101010|101020|101040
301059,59,301060,301001,1#3950000|27#595|216#1485,27#17405|216#43365,hp#574412|atk#15686|spd#40|sklP#80,101010|101020|101040
301060,60,301061,301001,1#4000000|27#605|216#1510,27#18000|216#44850,hp#584148|atk#16006|spd#40|sklP#80,101010|101020|101040|301060
301061,61,301062,301001,1#4050000|27#615|216#1535,27#18605|216#46360,hp#593884|atk#16326|spd#42|sklP#80,101010|101020|101040|301060
301062,62,301063,301001,1#4100000|27#625|216#1560,27#19220|216#47895,hp#603620|atk#16646|spd#42|sklP#90,101010|101020|101040|301060
301063,63,301064,301001,1#4150000|27#635|216#1585,27#19845|216#49455,hp#613356|atk#16967|spd#44|sklP#90,101010|101020|101040|301060
301064,64,301065,301001,1#4200000|27#645|216#1610,27#20480|216#51040,hp#623091|atk#17287|spd#44|sklP#90,101010|101020|101040|301060
301065,65,301066,301001,1#4250000|27#655|216#1635,27#21125|216#52650,hp#632827|atk#17607|spd#46|sklP#90,101010|101020|101040|301060
301066,66,301067,301001,1#4300000|27#665|216#1660,27#21780|216#54285,hp#642563|atk#17927|spd#46|sklP#100,101010|101020|101040|301060
301067,67,301068,301001,1#4350000|27#675|216#1685,27#22445|216#55945,hp#652299|atk#18247|spd#48|sklP#100,101010|101020|101040|301060
301068,68,301069,301001,1#4400000|27#685|216#1710,27#23120|216#57630,hp#662035|atk#18567|spd#48|sklP#100,101010|101020|101040|301060
301069,69,301070,301001,1#4450000|27#695|216#1735,27#23805|216#59340,hp#671770|atk#18887|spd#50|sklP#100,101010|101020|101040|301060
301070,70,301071,301001,1#4500000|27#705|216#1760,27#24500|216#61075,hp#681506|atk#19208|spd#50|sklP#110,101010|101020|101040|301060
301071,71,301072,301001,1#4550000|27#715|216#1785,27#25205|216#62835,hp#691242|atk#19528|spd#52|sklP#110,101010|101020|101040|301060
301072,72,301073,301001,1#4600000|27#725|216#1810,27#25920|216#64620,hp#700978|atk#19848|spd#52|sklP#110,101010|101020|101040|301060
301073,73,301074,301001,1#4650000|27#735|216#1835,27#26645|216#66430,hp#710714|atk#20168|spd#54|sklP#110,101010|101020|101040|301060
301074,74,301075,301001,1#4700000|27#745|216#1860,27#27380|216#68265,hp#720449|atk#20488|spd#54|sklP#120,101010|101020|101040|301060
301075,75,301076,301001,1#4750000|27#755|216#1885,27#28125|216#70125,hp#730185|atk#20808|spd#56|sklP#120,101010|101020|101040|301060
301076,76,301077,301001,1#4800000|27#765|216#1910,27#28880|216#72010,hp#739921|atk#21128|spd#56|sklP#120,101010|101020|101040|301060
301077,77,301078,301001,1#4850000|27#775|216#1935,27#29645|216#73920,hp#749657|atk#21448|spd#58|sklP#120,101010|101020|101040|301060
301078,78,301079,301001,1#4900000|27#785|216#1960,27#30420|216#75855,hp#759393|atk#21769|spd#58|sklP#130,101010|101020|101040|301060
301079,79,301080,301001,1#4950000|27#795|216#1985,27#31205|216#77815,hp#769128|atk#22089|spd#60|sklP#130,101010|101020|101040|301060
301080,80,301081,301001,1#5000000|27#805|216#2010,27#32000|216#79800,hp#778864|atk#22409|spd#60|sklP#130,101010|101020|101040|301060|301080
301081,81,301082,301001,1#5050000|27#815|216#2035,27#32805|216#81810,hp#788600|atk#22729|spd#62|sklP#130,101010|101020|101040|301060|301080
301082,82,301083,301001,1#5100000|27#825|216#2060,27#33620|216#83845,hp#798336|atk#23049|spd#64|sklP#140,101010|101020|101040|301060|301080
301083,83,301084,301001,1#5150000|27#835|216#2085,27#34445|216#85905,hp#808072|atk#23369|spd#66|sklP#140,101010|101020|101040|301060|301080
301084,84,301085,301001,1#5200000|27#845|216#2110,27#35280|216#87990,hp#817808|atk#23689|spd#68|sklP#140,101010|101020|101040|301060|301080
301085,85,301086,301001,1#5250000|27#855|216#2135,27#36125|216#90100,hp#827543|atk#24010|spd#70|sklP#140,101010|101020|101040|301060|301080
301086,86,301087,301001,1#5300000|27#865|216#2160,27#36980|216#92235,hp#837279|atk#24330|spd#72|sklP#150,101010|101020|101040|301060|301080
301087,87,301088,301001,1#5350000|27#875|216#2185,27#37845|216#94395,hp#847015|atk#24650|spd#74|sklP#150,101010|101020|101040|301060|301080
301088,88,301089,301001,1#5400000|27#885|216#2210,27#38720|216#96580,hp#856751|atk#24970|spd#76|sklP#150,101010|101020|101040|301060|301080
301089,89,301090,301001,1#5450000|27#895|216#2235,27#39605|216#98790,hp#866487|atk#25290|spd#78|sklP#150,101010|101020|101040|301060|301080
301090,90,301091,301001,1#5500000|27#905|216#2260,27#40500|216#101025,hp#876222|atk#25610|spd#80|sklP#160,101010|101020|101040|301060|301080
301091,91,301092,301001,1#5550000|27#915|216#2285,27#41405|216#103285,hp#885958|atk#25930|spd#82|sklP#160,101010|101020|101040|301060|301080
301092,92,301093,301001,1#5600000|27#925|216#2310,27#42320|216#105570,hp#895694|atk#26250|spd#84|sklP#160,101010|101020|101040|301060|301080
301093,93,301094,301001,1#5650000|27#935|216#2335,27#43245|216#107880,hp#905430|atk#26571|spd#86|sklP#160,101010|101020|101040|301060|301080
301094,94,301095,301001,1#5700000|27#945|216#2360,27#44180|216#110215,hp#915166|atk#26891|spd#88|sklP#170,101010|101020|101040|301060|301080
301095,95,301096,301001,1#5750000|27#955|216#2385,27#45125|216#112575,hp#924901|atk#27211|spd#90|sklP#170,101010|101020|101040|301060|301080
301096,96,301097,301001,1#5800000|27#965|216#2410,27#46080|216#114960,hp#934637|atk#27531|spd#92|sklP#180,101010|101020|101040|301060|301080
301097,97,301098,301001,1#5850000|27#975|216#2435,27#47045|216#117370,hp#944373|atk#27851|spd#94|sklP#180,101010|101020|101040|301060|301080
301098,98,301099,301001,1#5900000|27#985|216#2460,27#48020|216#119805,hp#954109|atk#28171|spd#96|sklP#190,101010|101020|101040|301060|301080
301099,99,301100,301001,1#5950000|27#995|216#2485,27#49005|216#122265,hp#963845|atk#28491|spd#98|sklP#190,101010|101020|101040|301060|301080
301100,100,0,301001,,27#50000|216#124750,hp#973581|atk#28812|spd#100|sklP#200,101010|101020|101040|301060|301080|101100
401001,1,401002,401001,1#1050000|27#15|216#35,27#5|216#10,hp#8593|atk#0|spd#0|sklP#0,
401002,2,401003,401001,1#1100000|27#25|216#60,27#20|216#45,hp#17187|atk#0|spd#0|sklP#0,
401003,3,401004,401001,1#1150000|27#35|216#85,27#45|216#105,hp#25780|atk#0|spd#0|sklP#0,
401004,4,401005,401001,1#1200000|27#45|216#110,27#80|216#190,hp#34374|atk#0|spd#0|sklP#0,
401005,5,401006,401001,1#1250000|27#55|216#135,27#125|216#300,hp#42968|atk#0|spd#0|sklP#0,
401006,6,401007,401001,1#1300000|27#65|216#160,27#180|216#435,hp#51561|atk#0|spd#0|sklP#0,
401007,7,401008,401001,1#1350000|27#75|216#185,27#245|216#595,hp#60155|atk#0|spd#0|sklP#0,
401008,8,401009,401001,1#1400000|27#85|216#210,27#320|216#780,hp#68748|atk#0|spd#0|sklP#0,
401009,9,401010,401001,1#1450000|27#95|216#235,27#405|216#990,hp#77342|atk#0|spd#0|sklP#0,
401010,10,401011,401001,1#1500000|27#105|216#260,27#500|216#1225,hp#85936|atk#0|spd#0|sklP#0,101010
401011,11,401012,401001,1#1550000|27#115|216#285,27#605|216#1485,hp#94529|atk#363|spd#0|sklP#0,101010
401012,12,401013,401001,1#1600000|27#125|216#310,27#720|216#1770,hp#103123|atk#726|spd#0|sklP#0,101010
401013,13,401014,401001,1#1650000|27#135|216#335,27#845|216#2080,hp#111717|atk#1089|spd#0|sklP#0,101010
401014,14,401015,401001,1#1700000|27#145|216#360,27#980|216#2415,hp#120310|atk#1452|spd#0|sklP#0,101010
401015,15,401016,401001,1#1750000|27#155|216#385,27#1125|216#2775,hp#128904|atk#1815|spd#0|sklP#0,101010
401016,16,401017,401001,1#1800000|27#165|216#410,27#1280|216#3160,hp#137497|atk#2178|spd#0|sklP#0,101010
401017,17,401018,401001,1#1850000|27#175|216#435,27#1445|216#3570,hp#146091|atk#2541|spd#0|sklP#0,101010
401018,18,401019,401001,1#1900000|27#185|216#460,27#1620|216#4005,hp#154685|atk#2904|spd#0|sklP#0,101010
401019,19,401020,401001,1#1950000|27#195|216#485,27#1805|216#4465,hp#163278|atk#3267|spd#0|sklP#0,101010
401020,20,401021,401001,1#2000000|27#205|216#510,27#2000|216#4950,hp#171872|atk#3630|spd#0|sklP#0,101010|101020
401021,21,401022,401001,1#2050000|27#215|216#535,27#2205|216#5460,hp#180466|atk#3993|spd#2|sklP#0,101010|101020
401022,22,401023,401001,1#2100000|27#225|216#560,27#2420|216#5995,hp#189059|atk#4356|spd#2|sklP#0,101010|101020
401023,23,401024,401001,1#2150000|27#235|216#585,27#2645|216#6555,hp#197653|atk#4719|spd#4|sklP#0,101010|101020
401024,24,401025,401001,1#2200000|27#245|216#610,27#2880|216#7140,hp#206246|atk#5082|spd#4|sklP#0,101010|101020
401025,25,401026,401001,1#2250000|27#255|216#635,27#3125|216#7750,hp#214840|atk#5445|spd#6|sklP#0,101010|101020
401026,26,401027,401001,1#2300000|27#265|216#660,27#3380|216#8385,hp#223434|atk#5808|spd#6|sklP#0,101010|101020
401027,27,401028,401001,1#2350000|27#275|216#685,27#3645|216#9045,hp#232027|atk#6171|spd#8|sklP#0,101010|101020
401028,28,401029,401001,1#2400000|27#285|216#710,27#3920|216#9730,hp#240621|atk#6534|spd#8|sklP#0,101010|101020
401029,29,401030,401001,1#2450000|27#295|216#735,27#4205|216#10440,hp#249214|atk#6897|spd#10|sklP#0,101010|101020
401030,30,401031,401001,1#2500000|27#305|216#760,27#4500|216#11175,hp#257808|atk#7260|spd#10|sklP#10,101010|101020
401031,31,401032,401001,1#2550000|27#315|216#785,27#4805|216#11935,hp#266402|atk#7623|spd#12|sklP#10,101010|101020
401032,32,401033,401001,1#2600000|27#325|216#810,27#5120|216#12720,hp#274995|atk#7986|spd#12|sklP#10,101010|101020
401033,33,401034,401001,1#2650000|27#335|216#835,27#5445|216#13530,hp#283589|atk#8349|spd#14|sklP#10,101010|101020
401034,34,401035,401001,1#2700000|27#345|216#860,27#5780|216#14365,hp#292183|atk#8712|spd#14|sklP#20,101010|101020
401035,35,401036,401001,1#2750000|27#355|216#885,27#6125|216#15225,hp#300776|atk#9075|spd#16|sklP#20,101010|101020
401036,36,401037,401001,1#2800000|27#365|216#910,27#6480|216#16110,hp#309370|atk#9438|spd#16|sklP#20,101010|101020
401037,37,401038,401001,1#2850000|27#375|216#935,27#6845|216#17020,hp#317963|atk#9801|spd#18|sklP#20,101010|101020
401038,38,401039,401001,1#2900000|27#385|216#960,27#7220|216#17955,hp#326557|atk#10164|spd#18|sklP#30,101010|101020
401039,39,401040,401001,1#2950000|27#395|216#985,27#7605|216#18915,hp#335151|atk#10527|spd#20|sklP#30,101010|101020
401040,40,401041,401001,1#3000000|27#405|216#1010,27#8000|216#19900,hp#343744|atk#10890|spd#20|sklP#30,101010|101020|101040
401041,41,401042,401001,1#3050000|27#415|216#1035,27#8405|216#20910,hp#352338|atk#11253|spd#22|sklP#30,101010|101020|101040
401042,42,401043,401001,1#3100000|27#425|216#1060,27#8820|216#21945,hp#360932|atk#11616|spd#22|sklP#40,101010|101020|101040
401043,43,401044,401001,1#3150000|27#435|216#1085,27#9245|216#23005,hp#369525|atk#11979|spd#24|sklP#40,101010|101020|101040
401044,44,401045,401001,1#3200000|27#445|216#1110,27#9680|216#24090,hp#378119|atk#12342|spd#24|sklP#40,101010|101020|101040
401045,45,401046,401001,1#3250000|27#455|216#1135,27#10125|216#25200,hp#386712|atk#12705|spd#26|sklP#40,101010|101020|101040
401046,46,401047,401001,1#3300000|27#465|216#1160,27#10580|216#26335,hp#395306|atk#13068|spd#26|sklP#50,101010|101020|101040
401047,47,401048,401001,1#3350000|27#475|216#1185,27#11045|216#27495,hp#403900|atk#13431|spd#28|sklP#50,101010|101020|101040
401048,48,401049,401001,1#3400000|27#485|216#1210,27#11520|216#28680,hp#412493|atk#13794|spd#28|sklP#50,101010|101020|101040
401049,49,401050,401001,1#3450000|27#495|216#1235,27#12005|216#29890,hp#421087|atk#14157|spd#30|sklP#50,101010|101020|101040
401050,50,401051,401001,1#3500000|27#505|216#1260,27#12500|216#31125,hp#429681|atk#14520|spd#30|sklP#60,101010|101020|101040
401051,51,401052,401001,1#3550000|27#515|216#1285,27#13005|216#32385,hp#438274|atk#14883|spd#32|sklP#60,101010|101020|101040
401052,52,401053,401001,1#3600000|27#525|216#1310,27#13520|216#33670,hp#446868|atk#15246|spd#32|sklP#60,101010|101020|101040
401053,53,401054,401001,1#3650000|27#535|216#1335,27#14045|216#34980,hp#455461|atk#15609|spd#34|sklP#60,101010|101020|101040
401054,54,401055,401001,1#3700000|27#545|216#1360,27#14580|216#36315,hp#464055|atk#15972|spd#34|sklP#70,101010|101020|101040
401055,55,401056,401001,1#3750000|27#555|216#1385,27#15125|216#37675,hp#472649|atk#16335|spd#36|sklP#70,101010|101020|101040
401056,56,401057,401001,1#3800000|27#565|216#1410,27#15680|216#39060,hp#481242|atk#16698|spd#36|sklP#70,101010|101020|101040
401057,57,401058,401001,1#3850000|27#575|216#1435,27#16245|216#40470,hp#489836|atk#17061|spd#38|sklP#70,101010|101020|101040
401058,58,401059,401001,1#3900000|27#585|216#1460,27#16820|216#41905,hp#498429|atk#17424|spd#38|sklP#80,101010|101020|101040
401059,59,401060,401001,1#3950000|27#595|216#1485,27#17405|216#43365,hp#507023|atk#17787|spd#40|sklP#80,101010|101020|101040
401060,60,401061,401001,1#4000000|27#605|216#1510,27#18000|216#44850,hp#515617|atk#18150|spd#40|sklP#80,101010|101020|101040|401060
401061,61,401062,401001,1#4050000|27#615|216#1535,27#18605|216#46360,hp#524210|atk#18513|spd#42|sklP#80,101010|101020|101040|401060
401062,62,401063,401001,1#4100000|27#625|216#1560,27#19220|216#47895,hp#532804|atk#18876|spd#42|sklP#90,101010|101020|101040|401060
401063,63,401064,401001,1#4150000|27#635|216#1585,27#19845|216#49455,hp#541398|atk#19239|spd#44|sklP#90,101010|101020|101040|401060
401064,64,401065,401001,1#4200000|27#645|216#1610,27#20480|216#51040,hp#549991|atk#19602|spd#44|sklP#90,101010|101020|101040|401060
401065,65,401066,401001,1#4250000|27#655|216#1635,27#21125|216#52650,hp#558585|atk#19965|spd#46|sklP#90,101010|101020|101040|401060
401066,66,401067,401001,1#4300000|27#665|216#1660,27#21780|216#54285,hp#567178|atk#20328|spd#46|sklP#100,101010|101020|101040|401060
401067,67,401068,401001,1#4350000|27#675|216#1685,27#22445|216#55945,hp#575772|atk#20691|spd#48|sklP#100,101010|101020|101040|401060
401068,68,401069,401001,1#4400000|27#685|216#1710,27#23120|216#57630,hp#584366|atk#21054|spd#48|sklP#100,101010|101020|101040|401060
401069,69,401070,401001,1#4450000|27#695|216#1735,27#23805|216#59340,hp#592959|atk#21417|spd#50|sklP#100,101010|101020|101040|401060
401070,70,401071,401001,1#4500000|27#705|216#1760,27#24500|216#61075,hp#601553|atk#21780|spd#50|sklP#110,101010|101020|101040|401060
401071,71,401072,401001,1#4550000|27#715|216#1785,27#25205|216#62835,hp#610147|atk#22143|spd#52|sklP#110,101010|101020|101040|401060
401072,72,401073,401001,1#4600000|27#725|216#1810,27#25920|216#64620,hp#618740|atk#22506|spd#52|sklP#110,101010|101020|101040|401060
401073,73,401074,401001,1#4650000|27#735|216#1835,27#26645|216#66430,hp#627334|atk#22869|spd#54|sklP#110,101010|101020|101040|401060
401074,74,401075,401001,1#4700000|27#745|216#1860,27#27380|216#68265,hp#635927|atk#23232|spd#54|sklP#120,101010|101020|101040|401060
401075,75,401076,401001,1#4750000|27#755|216#1885,27#28125|216#70125,hp#644521|atk#23595|spd#56|sklP#120,101010|101020|101040|401060
401076,76,401077,401001,1#4800000|27#765|216#1910,27#28880|216#72010,hp#653115|atk#23958|spd#56|sklP#120,101010|101020|101040|401060
401077,77,401078,401001,1#4850000|27#775|216#1935,27#29645|216#73920,hp#661708|atk#24321|spd#58|sklP#120,101010|101020|101040|401060
401078,78,401079,401001,1#4900000|27#785|216#1960,27#30420|216#75855,hp#670302|atk#24684|spd#58|sklP#130,101010|101020|101040|401060
401079,79,401080,401001,1#4950000|27#795|216#1985,27#31205|216#77815,hp#678895|atk#25047|spd#60|sklP#130,101010|101020|101040|401060
401080,80,401081,401001,1#5000000|27#805|216#2010,27#32000|216#79800,hp#687489|atk#25410|spd#60|sklP#130,101010|101020|101040|401060|401080
401081,81,401082,401001,1#5050000|27#815|216#2035,27#32805|216#81810,hp#696083|atk#25773|spd#62|sklP#130,101010|101020|101040|401060|401080
401082,82,401083,401001,1#5100000|27#825|216#2060,27#33620|216#83845,hp#704676|atk#26136|spd#64|sklP#140,101010|101020|101040|401060|401080
401083,83,401084,401001,1#5150000|27#835|216#2085,27#34445|216#85905,hp#713270|atk#26499|spd#66|sklP#140,101010|101020|101040|401060|401080
401084,84,401085,401001,1#5200000|27#845|216#2110,27#35280|216#87990,hp#721864|atk#26862|spd#68|sklP#140,101010|101020|101040|401060|401080
401085,85,401086,401001,1#5250000|27#855|216#2135,27#36125|216#90100,hp#730457|atk#27225|spd#70|sklP#140,101010|101020|101040|401060|401080
401086,86,401087,401001,1#5300000|27#865|216#2160,27#36980|216#92235,hp#739051|atk#27588|spd#72|sklP#150,101010|101020|101040|401060|401080
401087,87,401088,401001,1#5350000|27#875|216#2185,27#37845|216#94395,hp#747644|atk#27951|spd#74|sklP#150,101010|101020|101040|401060|401080
401088,88,401089,401001,1#5400000|27#885|216#2210,27#38720|216#96580,hp#756238|atk#28314|spd#76|sklP#150,101010|101020|101040|401060|401080
401089,89,401090,401001,1#5450000|27#895|216#2235,27#39605|216#98790,hp#764832|atk#28677|spd#78|sklP#150,101010|101020|101040|401060|401080
401090,90,401091,401001,1#5500000|27#905|216#2260,27#40500|216#101025,hp#773425|atk#29040|spd#80|sklP#160,101010|101020|101040|401060|401080
401091,91,401092,401001,1#5550000|27#915|216#2285,27#41405|216#103285,hp#782019|atk#29403|spd#82|sklP#160,101010|101020|101040|401060|401080
401092,92,401093,401001,1#5600000|27#925|216#2310,27#42320|216#105570,hp#790613|atk#29766|spd#84|sklP#160,101010|101020|101040|401060|401080
401093,93,401094,401001,1#5650000|27#935|216#2335,27#43245|216#107880,hp#799206|atk#30129|spd#86|sklP#160,101010|101020|101040|401060|401080
401094,94,401095,401001,1#5700000|27#945|216#2360,27#44180|216#110215,hp#807800|atk#30492|spd#88|sklP#170,101010|101020|101040|401060|401080
401095,95,401096,401001,1#5750000|27#955|216#2385,27#45125|216#112575,hp#816393|atk#30855|spd#90|sklP#170,101010|101020|101040|401060|401080
401096,96,401097,401001,1#5800000|27#965|216#2410,27#46080|216#114960,hp#824987|atk#31218|spd#92|sklP#180,101010|101020|101040|401060|401080
401097,97,401098,401001,1#5850000|27#975|216#2435,27#47045|216#117370,hp#833581|atk#31581|spd#94|sklP#180,101010|101020|101040|401060|401080
401098,98,401099,401001,1#5900000|27#985|216#2460,27#48020|216#119805,hp#842174|atk#31944|spd#96|sklP#190,101010|101020|101040|401060|401080
401099,99,401100,401001,1#5950000|27#995|216#2485,27#49005|216#122265,hp#850768|atk#32307|spd#98|sklP#190,101010|101020|101040|401060|401080
401100,100,0,401001,,27#50000|216#124750,hp#859362|atk#32670|spd#100|sklP#200,101010|101020|101040|401060|401080|101100
501001,1,501002,501001,1#1050000|27#15|216#35,27#5|216#10,hp#8865|atk#0|spd#0|sklP#0,
501002,2,501003,501001,1#1100000|27#25|216#60,27#20|216#45,hp#17731|atk#0|spd#0|sklP#0,
501003,3,501004,501001,1#1150000|27#35|216#85,27#45|216#105,hp#26596|atk#0|spd#0|sklP#0,
501004,4,501005,501001,1#1200000|27#45|216#110,27#80|216#190,hp#35462|atk#0|spd#0|sklP#0,
501005,5,501006,501001,1#1250000|27#55|216#135,27#125|216#300,hp#44327|atk#0|spd#0|sklP#0,
501006,6,501007,501001,1#1300000|27#65|216#160,27#180|216#435,hp#53193|atk#0|spd#0|sklP#0,
501007,7,501008,501001,1#1350000|27#75|216#185,27#245|216#595,hp#62058|atk#0|spd#0|sklP#0,
501008,8,501009,501001,1#1400000|27#85|216#210,27#320|216#780,hp#70924|atk#0|spd#0|sklP#0,
501009,9,501010,501001,1#1450000|27#95|216#235,27#405|216#990,hp#79790|atk#0|spd#0|sklP#0,
501010,10,501011,501001,1#1500000|27#105|216#260,27#500|216#1225,hp#88655|atk#0|spd#0|sklP#0,101010
501011,11,501012,501001,1#1550000|27#115|216#285,27#605|216#1485,hp#97521|atk#351|spd#0|sklP#0,101010
501012,12,501013,501001,1#1600000|27#125|216#310,27#720|216#1770,hp#106386|atk#703|spd#0|sklP#0,101010
501013,13,501014,501001,1#1650000|27#135|216#335,27#845|216#2080,hp#115252|atk#1054|spd#0|sklP#0,101010
501014,14,501015,501001,1#1700000|27#145|216#360,27#980|216#2415,hp#124117|atk#1406|spd#0|sklP#0,101010
501015,15,501016,501001,1#1750000|27#155|216#385,27#1125|216#2775,hp#132983|atk#1757|spd#0|sklP#0,101010
501016,16,501017,501001,1#1800000|27#165|216#410,27#1280|216#3160,hp#141849|atk#2109|spd#0|sklP#0,101010
501017,17,501018,501001,1#1850000|27#175|216#435,27#1445|216#3570,hp#150714|atk#2460|spd#0|sklP#0,101010
501018,18,501019,501001,1#1900000|27#185|216#460,27#1620|216#4005,hp#159580|atk#2812|spd#0|sklP#0,101010
