id,lv,next_id,pet_skill_id,cost,restore,effect,icon
2011047,47,2011048,2011001,1#1268226|27#767,27#8248|26#0,hp#48470|atk#1449,pet_skill_2011
2011048,48,2011049,2011001,1#1296226|27#844,27#9015|26#0,hp#50265|atk#1474,pet_skill_2011
2011049,49,2011050,2011001,1#1324226|27#928,27#9859|26#0,hp#52060|atk#1499,pet_skill_2011
2011050,50,0,2011001,,27#10787|26#0,hp#53855|atk#1524,pet_skill_2011
2012001,1,2012002,2012001,1#381833|27#79,27#0|26#2100,hp#1185|atk#61|trueAtk#20,pet_skill_2012
2012002,2,2012003,2012001,1#410760|27#84,27#79|26#2100,hp#2370|atk#122|trueAtk#20,pet_skill_2012
2012003,3,2012004,2012001,1#453870|27#90,27#163|26#2100,hp#3555|atk#182|trueAtk#20,pet_skill_2012
2012004,4,2012005,2012001,1#483730|27#95,27#253|26#2100,hp#4740|atk#243|trueAtk#40,pet_skill_2012
2012005,5,2012006,2012001,1#513590|27#102,27#348|26#2100,hp#5925|atk#304|trueAtk#40,pet_skill_2012
2012006,6,2012007,2012001,1#543450|27#107,27#450|26#2100,hp#7110|atk#365|trueAtk#40,pet_skill_2012
2012007,7,2012008,2012001,1#591225|27#113,27#557|26#2100,hp#8295|atk#426|trueAtk#60,pet_skill_2012
2012008,8,2012009,2012001,1#622018|27#119,27#670|26#2100,hp#9480|atk#487|trueAtk#60,pet_skill_2012
2012009,9,2012010,2012001,1#652811|27#125,27#789|26#2100,hp#10665|atk#547|trueAtk#60,pet_skill_2012
2012010,10,2012011,2012001,1#704319|27#130,27#914|26#2100,hp#11850|atk#608|trueAtk#80,pet_skill_2012
2012011,11,2012012,2012001,1#736046|27#137,27#1044|26#2100,hp#13035|atk#669|trueAtk#80,pet_skill_2012
2012012,12,2012013,2012001,1#767772|27#142,27#1181|26#2100,hp#14220|atk#730|trueAtk#80,pet_skill_2012
2012013,13,2012014,2012001,1#823012|27#148,27#1323|26#2100,hp#15405|atk#791|trueAtk#100,pet_skill_2012
2012014,14,2012015,2012001,1#855672|27#154,27#1471|26#2100,hp#16590|atk#851|trueAtk#100,pet_skill_2012
2012015,15,2012016,2012001,1#888331|27#160,27#1625|26#2100,hp#17775|atk#912|trueAtk#100,pet_skill_2012
2012016,16,2012017,2012001,1#920990|27#165,27#1785|26#2100,hp#18960|atk#973|trueAtk#120,pet_skill_2012
2012017,17,2012018,2012001,1#980896|27#172,27#1950|26#2100,hp#20146|atk#1034|trueAtk#120,pet_skill_2012
2012018,18,2012019,2012001,1#1014489|27#177,27#2122|26#2100,hp#21331|atk#1095|trueAtk#120,pet_skill_2012
2012019,19,2012020,2012001,1#1048081|27#183,27#2299|26#2100,hp#22516|atk#1156|trueAtk#140,pet_skill_2012
2012020,20,2012021,2012001,1#1111720|27#189,27#2482|26#2100,hp#23701|atk#1216|trueAtk#140,pet_skill_2012
2012021,21,2012022,2012001,1#1146245|27#195,27#2671|26#2100,hp#24886|atk#1277|trueAtk#140,pet_skill_2012
2012022,22,2012023,2012001,1#1180771|27#200,27#2866|26#2100,hp#26071|atk#1338|trueAtk#160,pet_skill_2012
2012023,23,2012024,2012001,1#1248142|27#207,27#3066|26#2100,hp#27256|atk#1399|trueAtk#160,pet_skill_2012
2012024,24,2012025,2012001,1#1283600|27#212,27#3273|26#2100,hp#28441|atk#1460|trueAtk#160,pet_skill_2012
2012025,25,2012026,2012001,1#1319059|27#218,27#3485|26#2100,hp#29626|atk#1520|trueAtk#180,pet_skill_2012
2012026,26,2012027,2012001,1#1354517|27#225,27#3703|26#2100,hp#30811|atk#1581|trueAtk#180,pet_skill_2012
2012027,27,2012028,2012001,1#1426554|27#230,27#3928|26#2100,hp#31996|atk#1642|trueAtk#180,pet_skill_2012
2012028,28,2012029,2012001,1#1462946|27#235,27#4158|26#2100,hp#33181|atk#1703|trueAtk#200,pet_skill_2012
2012029,29,2012030,2012001,1#1499338|27#241,27#4393|26#2100,hp#34366|atk#1764|trueAtk#200,pet_skill_2012
2012030,30,2012031,2012001,1#1539338|27#265,27#4634|26#2100,hp#35910|atk#1843|trueAtk#200,pet_skill_2012
2012031,31,2012032,2012001,1#1579338|27#292,27#4899|26#2100,hp#39501|atk#1889|trueAtk#200,pet_skill_2012
2012032,32,2012033,2012001,1#1619338|27#321,27#5191|26#2100,hp#43092|atk#1935|trueAtk#200,pet_skill_2012
2012033,33,2012034,2012001,1#1659338|27#353,27#5512|26#2100,hp#46683|atk#1981|trueAtk#200,pet_skill_2012
2012034,34,2012035,2012001,1#1699338|27#388,27#5865|26#2100,hp#50274|atk#2027|trueAtk#210,pet_skill_2012
2012035,35,2012036,2012001,1#1739338|27#427,27#6253|26#2100,hp#53865|atk#2073|trueAtk#210,pet_skill_2012
2012036,36,2012037,2012001,1#1779338|27#470,27#6680|26#2100,hp#57456|atk#2119|trueAtk#210,pet_skill_2012
2012037,37,2012038,2012001,1#1819338|27#517,27#7150|26#2100,hp#61047|atk#2165|trueAtk#210,pet_skill_2012
2012038,38,2012039,2012001,1#1859338|27#569,27#7667|26#2100,hp#64638|atk#2211|trueAtk#220,pet_skill_2012
2012039,39,2012040,2012001,1#1899338|27#626,27#8236|26#2100,hp#68229|atk#2257|trueAtk#220,pet_skill_2012
2012040,40,2012041,2012001,1#1939338|27#689,27#8862|26#2100,hp#71820|atk#2303|trueAtk#220,pet_skill_2012
2012041,41,2012042,2012001,1#1979338|27#758,27#9551|26#2100,hp#75411|atk#2349|trueAtk#220,pet_skill_2012
2012042,42,2012043,2012001,1#2019338|27#834,27#10309|26#2100,hp#79002|atk#2395|trueAtk#230,pet_skill_2012
2012043,43,2012044,2012001,1#2059338|27#917,27#11143|26#2100,hp#82593|atk#2441|trueAtk#230,pet_skill_2012
2012044,44,2012045,2012001,1#2099338|27#1009,27#12060|26#2100,hp#86184|atk#2487|trueAtk#230,pet_skill_2012
2012045,45,2012046,2012001,1#2139338|27#1110,27#13069|26#2100,hp#89775|atk#2533|trueAtk#230,pet_skill_2012
2012046,46,2012047,2012001,1#2179338|27#1221,27#14179|26#2100,hp#93366|atk#2579|trueAtk#240,pet_skill_2012
2012047,47,2012048,2012001,1#2219338|27#1343,27#15400|26#2100,hp#96957|atk#2625|trueAtk#240,pet_skill_2012
2012048,48,2012049,2012001,1#2259338|27#1477,27#16743|26#2100,hp#100548|atk#2671|trueAtk#240,pet_skill_2012
2012049,49,2012050,2012001,1#2299338|27#1625,27#18220|26#2100,hp#104139|atk#2717|trueAtk#240,pet_skill_2012
2012050,50,0,2012001,,27#19845|26#2100,hp#107730|atk#2763|trueAtk#250,pet_skill_2012
2013001,1,2013002,2013001,1#932187|27#158,27#0|26#4100,hp#1975|atk#101|hit#20,pet_skill_2013
2013002,2,2013003,2013001,1#966713|27#164,27#158|26#4100,hp#3950|atk#203|hit#20,pet_skill_2013
2013003,3,2013004,2013001,1#1001238|27#171,27#322|26#4100,hp#5925|atk#304|hit#20,pet_skill_2013
2013004,4,2013005,2013001,1#1063757|27#176,27#493|26#4100,hp#7900|atk#405|hit#40,pet_skill_2013
2013005,5,2013006,2013001,1#1099216|27#181,27#669|26#4100,hp#9875|atk#507|hit#40,pet_skill_2013
2013006,6,2013007,2013001,1#1164534|27#188,27#850|26#4100,hp#11850|atk#608|hit#40,pet_skill_2013
2013007,7,2013008,2013001,1#1200926|27#194,27#1038|26#4100,hp#13825|atk#709|hit#60,pet_skill_2013
2013008,8,2013009,2013001,1#1237318|27#199,27#1232|26#4100,hp#15800|atk#811|hit#60,pet_skill_2013
2013009,9,2013010,2013001,1#1306368|27#206,27#1431|26#4100,hp#17775|atk#912|hit#60,pet_skill_2013
2013010,10,2013011,2013001,1#1343693|27#211,27#1637|26#4100,hp#19751|atk#1013|hit#80,pet_skill_2013
2013011,11,2013012,2013001,1#1415544|27#216,27#1848|26#4100,hp#21726|atk#1115|hit#80,pet_skill_2013
2013012,12,2013013,2013001,1#1453801|27#223,27#2064|26#4100,hp#23701|atk#1216|hit#80,pet_skill_2013
2013013,13,2013014,2013001,1#1492059|27#229,27#2287|26#4100,hp#25676|atk#1317|hit#100,pet_skill_2013
2013014,14,2013015,2013001,1#1567642|27#234,27#2516|26#4100,hp#27651|atk#1419|hit#100,pet_skill_2013
2013015,15,2013016,2013001,1#1606833|27#241,27#2750|26#4100,hp#29626|atk#1520|hit#100,pet_skill_2013
2013016,16,2013017,2013001,1#1685215|27#246,27#2991|26#4100,hp#31601|atk#1621|hit#120,pet_skill_2013
2013017,17,2013018,2013001,1#1725339|27#252,27#3237|26#4100,hp#33576|atk#1723|hit#120,pet_skill_2013
2013018,18,2013019,2013001,1#1765464|27#258,27#3489|26#4100,hp#35551|atk#1824|hit#120,pet_skill_2013
2013019,19,2013020,2013001,1#1847578|27#264,27#3747|26#4100,hp#37526|atk#1926|hit#140,pet_skill_2013
2013020,20,2013021,2013001,1#1888635|27#269,27#4011|26#4100,hp#39501|atk#2027|hit#140,pet_skill_2013
2013021,21,2013022,2013001,1#1973549|27#276,27#4280|26#4100,hp#41476|atk#2128|hit#140,pet_skill_2013
2013022,22,2013023,2013001,1#2015540|27#281,27#4556|26#4100,hp#43451|atk#2230|hit#160,pet_skill_2013
2013023,23,2013024,2013001,1#2057530|27#287,27#4837|26#4100,hp#45426|atk#2331|hit#160,pet_skill_2013
2013024,24,2013025,2013001,1#2146176|27#292,27#5124|26#4100,hp#47401|atk#2432|hit#160,pet_skill_2013
2013025,25,2013026,2013001,1#2189100|27#299,27#5416|26#4100,hp#49376|atk#2534|hit#180,pet_skill_2013
2013026,26,2013027,2013001,1#2280546|27#304,27#5715|26#4100,hp#51351|atk#2635|hit#180,pet_skill_2013
2013027,27,2013028,2013001,1#2324402|27#310,27#6019|26#4100,hp#53326|atk#2736|hit#180,pet_skill_2013
2013028,28,2013029,2013001,1#2368259|27#316,27#6329|26#4100,hp#55301|atk#2838|hit#200,pet_skill_2013
2013029,29,2013030,2013001,1#2463437|27#322,27#6645|26#4100,hp#57276|atk#2939|hit#200,pet_skill_2013
2013030,30,2013031,2013001,1#2518437|27#354,27#6967|26#4100,hp#59850|atk#3071|hit#200,pet_skill_2013
2013031,31,2013032,2013001,1#2573437|27#389,27#7321|26#4100,hp#65835|atk#3147|hit#200,pet_skill_2013
2013032,32,2013033,2013001,1#2628437|27#428,27#7710|26#4100,hp#71820|atk#3223|hit#200,pet_skill_2013
2013033,33,2013034,2013001,1#2683437|27#471,27#8138|26#4100,hp#77805|atk#3299|hit#200,pet_skill_2013
2013034,34,2013035,2013001,1#2738437|27#518,27#8609|26#4100,hp#83790|atk#3375|hit#220,pet_skill_2013
2013035,35,2013036,2013001,1#2793437|27#570,27#9127|26#4100,hp#89775|atk#3451|hit#220,pet_skill_2013
2013036,36,2013037,2013001,1#2848437|27#627,27#9697|26#4100,hp#95760|atk#3527|hit#220,pet_skill_2013
2013037,37,2013038,2013001,1#2903437|27#690,27#10324|26#4100,hp#101745|atk#3603|hit#220,pet_skill_2013
2013038,38,2013039,2013001,1#2958437|27#759,27#11014|26#4100,hp#107730|atk#3679|hit#240,pet_skill_2013
2013039,39,2013040,2013001,1#3013437|27#835,27#11773|26#4100,hp#113715|atk#3755|hit#240,pet_skill_2013
2013040,40,2013041,2013001,1#3068437|27#919,27#12608|26#4100,hp#119700|atk#3831|hit#240,pet_skill_2013
2013041,41,2013042,2013001,1#3123437|27#1011,27#13527|26#4100,hp#125685|atk#3907|hit#240,pet_skill_2013
2013042,42,2013043,2013001,1#3178437|27#1112,27#14538|26#4100,hp#131670|atk#3983|hit#260,pet_skill_2013
2013043,43,2013044,2013001,1#3233437|27#1223,27#15650|26#4100,hp#137655|atk#4059|hit#260,pet_skill_2013
2013044,44,2013045,2013001,1#3288437|27#1345,27#16873|26#4100,hp#143640|atk#4135|hit#260,pet_skill_2013
2013045,45,2013046,2013001,1#3343437|27#1480,27#18218|26#4100,hp#149625|atk#4211|hit#260,pet_skill_2013
2013046,46,2013047,2013001,1#3398437|27#1628,27#19698|26#4100,hp#155610|atk#4287|hit#280,pet_skill_2013
2013047,47,2013048,2013001,1#3453437|27#1791,27#21326|26#4100,hp#161595|atk#4363|hit#280,pet_skill_2013
2013048,48,2013049,2013001,1#3508437|27#1970,27#23117|26#4100,hp#167580|atk#4439|hit#280,pet_skill_2013
2013049,49,2013050,2013001,1#3563437|27#2167,27#25087|26#4100,hp#173565|atk#4515|hit#280,pet_skill_2013
2013050,50,0,2013001,,27#27254|26#4100,hp#179550|atk#4591|hit#300,pet_skill_2013
2014001,1,2014002,2014001,1#1606833|27#241,27#0|26#8300,hp#3555|atk#135|spd#4,pet_skill_2014
2014002,2,2014003,2014001,1#1685215|27#246,27#241|26#8300,hp#7110|atk#270|spd#4,pet_skill_2014
2014003,3,2014004,2014001,1#1725339|27#252,27#487|26#8300,hp#10665|atk#405|spd#4,pet_skill_2014
2014004,4,2014005,2014001,1#1806521|27#258,27#739|26#8300,hp#14220|atk#541|spd#8,pet_skill_2014
2014005,5,2014006,2014001,1#1847578|27#264,27#997|26#8300,hp#17775|atk#676|spd#8,pet_skill_2014
2014006,6,2014007,2014001,1#1888635|27#269,27#1261|26#8300,hp#21331|atk#811|spd#8,pet_skill_2014
2014007,7,2014008,2014001,1#1973549|27#276,27#1530|26#8300,hp#24886|atk#946|spd#12,pet_skill_2014
2014008,8,2014009,2014001,1#2015540|27#281,27#1806|26#8300,hp#28441|atk#1081|spd#12,pet_skill_2014
2014009,9,2014010,2014001,1#2103253|27#287,27#2087|26#8300,hp#31996|atk#1216|spd#12,pet_skill_2014
2014010,10,2014011,2014001,1#2146176|27#292,27#2374|26#8300,hp#35551|atk#1351|spd#16,pet_skill_2014
2014011,11,2014012,2014001,1#2189100|27#299,27#2666|26#8300,hp#39106|atk#1486|spd#16,pet_skill_2014
2014012,12,2014013,2014001,1#2280546|27#304,27#2965|26#8300,hp#42661|atk#1622|spd#16,pet_skill_2014
2014013,13,2014014,2014001,1#2324402|27#310,27#3269|26#8300,hp#46216|atk#1757|spd#20,pet_skill_2014
2014014,14,2014015,2014001,1#2418648|27#316,27#3579|26#8300,hp#49771|atk#1892|spd#20,pet_skill_2014
2014015,15,2014016,2014001,1#2463437|27#322,27#3895|26#8300,hp#53326|atk#2027|spd#20,pet_skill_2014
2014016,16,2014017,2014001,1#2508227|27#327,27#4217|26#8300,hp#56881|atk#2162|spd#24,pet_skill_2014
2014017,17,2014018,2014001,1#2606205|27#334,27#4544|26#8300,hp#60437|atk#2297|spd#24,pet_skill_2014
2014018,18,2014019,2014001,1#2651928|27#339,27#4878|26#8300,hp#63992|atk#2432|spd#24,pet_skill_2014
2014019,19,2014020,2014001,1#2752704|27#345,27#5217|26#8300,hp#67547|atk#2568|spd#28,pet_skill_2014
2014020,20,2014021,2014001,1#2799360|27#351,27#5562|26#8300,hp#71102|atk#2703|spd#28,pet_skill_2014
2014021,21,2014022,2014001,1#2846016|27#357,27#5913|26#8300,hp#74657|atk#2838|spd#28,pet_skill_2014
2014022,22,2014023,2014001,1#2950526|27#362,27#6270|26#8300,hp#78212|atk#2973|spd#32,pet_skill_2014
2014023,23,2014024,2014001,1#2998115|27#369,27#6632|26#8300,hp#81767|atk#3108|spd#32,pet_skill_2014
2014024,24,2014025,2014001,1#3105424|27#374,27#7001|26#8300,hp#85322|atk#3243|spd#32,pet_skill_2014
2014025,25,2014026,2014001,1#3153946|27#380,27#7375|26#8300,hp#88877|atk#3378|spd#36,pet_skill_2014
2014026,26,2014027,2014001,1#3202468|27#387,27#7755|26#8300,hp#92432|atk#3514|spd#36,pet_skill_2014
2014027,27,2014028,2014001,1#3313510|27#392,27#8142|26#8300,hp#95987|atk#3649|spd#36,pet_skill_2014
2014028,28,2014029,2014001,1#3362965|27#397,27#8534|26#8300,hp#99543|atk#3784|spd#40,pet_skill_2014
2014029,29,2014030,2014001,1#3476806|27#404,27#8931|26#8300,hp#103098|atk#3919|spd#40,pet_skill_2014
2014030,30,2014031,2014001,1#3544806|27#444,27#9335|26#8300,hp#107730|atk#4095|spd#40,pet_skill_2014
2014031,31,2014032,2014001,1#3612806|27#488,27#9779|26#8300,hp#118503|atk#4197|spd#41,pet_skill_2014
2014032,32,2014033,2014001,1#3680806|27#537,27#10267|26#8300,hp#129276|atk#4299|spd#42,pet_skill_2014
2014033,33,2014034,2014001,1#3748806|27#591,27#10804|26#8300,hp#140049|atk#4401|spd#43,pet_skill_2014
2014034,34,2014035,2014001,1#3816806|27#650,27#11395|26#8300,hp#150822|atk#4503|spd#44,pet_skill_2014
2014035,35,2014036,2014001,1#3884806|27#715,27#12045|26#8300,hp#161595|atk#4605|spd#45,pet_skill_2014
2014036,36,2014037,2014001,1#3952806|27#787,27#12760|26#8300,hp#172368|atk#4707|spd#46,pet_skill_2014
2014037,37,2014038,2014001,1#4020806|27#866,27#13547|26#8300,hp#183141|atk#4809|spd#47,pet_skill_2014
2014038,38,2014039,2014001,1#4088806|27#953,27#14413|26#8300,hp#193914|atk#4911|spd#48,pet_skill_2014
2014039,39,2014040,2014001,1#4156806|27#1048,27#15366|26#8300,hp#204687|atk#5013|spd#49,pet_skill_2014
2014040,40,2014041,2014001,1#4224806|27#1153,27#16414|26#8300,hp#215460|atk#5115|spd#50,pet_skill_2014
2014041,41,2014042,2014001,1#4292806|27#1268,27#17567|26#8300,hp#226233|atk#5217|spd#51,pet_skill_2014
2014042,42,2014043,2014001,1#4360806|27#1395,27#18835|26#8300,hp#237006|atk#5319|spd#52,pet_skill_2014
2014043,43,2014044,2014001,1#4428806|27#1535,27#20230|26#8300,hp#247779|atk#5421|spd#53,pet_skill_2014
2014044,44,2014045,2014001,1#4496806|27#1689,27#21765|26#8300,hp#258552|atk#5523|spd#54,pet_skill_2014
2014045,45,2014046,2014001,1#4564806|27#1858,27#23454|26#8300,hp#269325|atk#5625|spd#55,pet_skill_2014
2014046,46,2014047,2014001,1#4632806|27#2044,27#25312|26#8300,hp#280098|atk#5727|spd#56,pet_skill_2014
2014047,47,2014048,2014001,1#4700806|27#2248,27#27356|26#8300,hp#290871|atk#5829|spd#57,pet_skill_2014
2014048,48,2014049,2014001,1#4768806|27#2473,27#29604|26#8300,hp#301644|atk#5931|spd#58,pet_skill_2014
2014049,49,2014050,2014001,1#4836806|27#2720,27#32077|26#8300,hp#312417|atk#6033|spd#59,pet_skill_2014
2014050,50,0,2014001,,27#34797|26#8300,hp#323190|atk#6135|spd#60,pet_skill_2014
3011001,1,3011002,3011001,1#24262|27#7,27#0|26#0,hp#620|atk#32,pet_skill_3011
3011002,2,3011003,3011001,1#45350|27#11,27#7|26#0,hp#1240|atk#65,pet_skill_3011
3011003,3,3011004,3011001,1#65506|27#17,27#18|26#0,hp#1861|atk#97,pet_skill_3011
3011004,4,3011005,3011001,1#85661|27#21,27#35|26#0,hp#2481|atk#129,pet_skill_3011
3011005,5,3011006,3011001,1#109735|27#26,27#56|26#0,hp#3101|atk#162,pet_skill_3011
3011006,6,3011007,3011001,1#130637|27#30,27#82|26#0,hp#3721|atk#194,pet_skill_3011
3011007,7,3011008,3011001,1#151539|27#36,27#112|26#0,hp#4342|atk#226,pet_skill_3011
3011008,8,3011009,3011001,1#178600|27#40,27#148|26#0,hp#4962|atk#259,pet_skill_3011
3011009,9,3011010,3011001,1#200248|27#44,27#188|26#0,hp#5582|atk#291,pet_skill_3011
3011010,10,3011011,3011001,1#221896|27#49,27#232|26#0,hp#6202|atk#323,pet_skill_3011
3011011,11,3011012,3011001,1#243545|27#53,27#281|26#0,hp#6823|atk#356,pet_skill_3011
3011012,12,3011013,3011001,1#274338|27#59,27#334|26#0,hp#7443|atk#388,pet_skill_3011
3011013,13,3011014,3011001,1#296733|27#63,27#393|26#0,hp#8063|atk#420,pet_skill_3011
3011014,14,3011015,3011001,1#319128|27#68,27#456|26#0,hp#8683|atk#453,pet_skill_3011
3011015,15,3011016,3011001,1#352906|27#72,27#524|26#0,hp#9304|atk#485,pet_skill_3011
3011016,16,3011017,3011001,1#376048|27#77,27#596|26#0,hp#9924|atk#517,pet_skill_3011
3011017,17,3011018,3011001,1#399189|27#81,27#673|26#0,hp#10544|atk#550,pet_skill_3011
3011018,18,3011019,3011001,1#435954|27#87,27#754|26#0,hp#11164|atk#582,pet_skill_3011
3011019,19,3011020,3011001,1#459842|27#91,27#841|26#0,hp#11784|atk#614,pet_skill_3011
3011020,20,3011021,3011001,1#483730|27#95,27#932|26#0,hp#12405|atk#647,pet_skill_3011
3011021,21,3011022,3011001,1#507618|27#100,27#1027|26#0,hp#13025|atk#679,pet_skill_3011
3011022,22,3011023,3011001,1#548115|27#104,27#1127|26#0,hp#13645|atk#711,pet_skill_3011
3011023,23,3011024,3011001,1#572750|27#110,27#1231|26#0,hp#14265|atk#744,pet_skill_3011
3011024,24,3011025,3011001,1#597384|27#114,27#1341|26#0,hp#14886|atk#776,pet_skill_3011
3011025,25,3011026,3011001,1#640867|27#119,27#1455|26#0,hp#15506|atk#809,pet_skill_3011
3011026,26,3011027,3011001,1#666248|27#123,27#1574|26#0,hp#16126|atk#841,pet_skill_3011
3011027,27,3011028,3011001,1#691629|27#129,27#1697|26#0,hp#16746|atk#873,pet_skill_3011
3011028,28,3011029,3011001,1#738098|27#133,27#1826|26#0,hp#17367|atk#906,pet_skill_3011
3011029,29,3011030,3011001,1#764226|27#138,27#1959|26#0,hp#17987|atk#938,pet_skill_3011
3011030,30,3011031,3011001,1#792226|27#152,27#2097|26#0,hp#18795|atk#980,pet_skill_3011
3011031,31,3011032,3011001,1#820226|27#167,27#2249|26#0,hp#20674|atk#1004,pet_skill_3011
3011032,32,3011033,3011001,1#848226|27#184,27#2416|26#0,hp#22553|atk#1028,pet_skill_3011
3011033,33,3011034,3011001,1#876226|27#202,27#2600|26#0,hp#24432|atk#1052,pet_skill_3011
3011034,34,3011035,3011001,1#904226|27#222,27#2802|26#0,hp#26311|atk#1076,pet_skill_3011
3011035,35,3011036,3011001,1#932226|27#244,27#3024|26#0,hp#28190|atk#1100,pet_skill_3011
3011036,36,3011037,3011001,1#960226|27#268,27#3268|26#0,hp#30069|atk#1124,pet_skill_3011
3011037,37,3011038,3011001,1#988226|27#295,27#3536|26#0,hp#31948|atk#1148,pet_skill_3011
3011038,38,3011039,3011001,1#1016226|27#325,27#3831|26#0,hp#33827|atk#1172,pet_skill_3011
3011039,39,3011040,3011001,1#1044226|27#358,27#4156|26#0,hp#35706|atk#1196,pet_skill_3011
3011040,40,3011041,3011001,1#1072226|27#394,27#4514|26#0,hp#37585|atk#1220,pet_skill_3011
3011041,41,3011042,3011001,1#1100226|27#433,27#4908|26#0,hp#39464|atk#1244,pet_skill_3011
3011042,42,3011043,3011001,1#1128226|27#476,27#5341|26#0,hp#41343|atk#1268,pet_skill_3011
3011043,43,3011044,3011001,1#1156226|27#524,27#5817|26#0,hp#43222|atk#1292,pet_skill_3011
3011044,44,3011045,3011001,1#1184226|27#576,27#6341|26#0,hp#45101|atk#1316,pet_skill_3011
3011045,45,3011046,3011001,1#1212226|27#634,27#6917|26#0,hp#46980|atk#1340,pet_skill_3011
3011046,46,3011047,3011001,1#1240226|27#697,27#7551|26#0,hp#48859|atk#1364,pet_skill_3011
3011047,47,3011048,3011001,1#1268226|27#767,27#8248|26#0,hp#50738|atk#1388,pet_skill_3011
3011048,48,3011049,3011001,1#1296226|27#844,27#9015|26#0,hp#52617|atk#1412,pet_skill_3011
3011049,49,3011050,3011001,1#1324226|27#928,27#9859|26#0,hp#54496|atk#1436,pet_skill_3011
3011050,50,0,3011001,,27#10787|26#0,hp#56375|atk#1460,pet_skill_3011
3012001,1,3012002,3012001,1#381833|27#79,27#0|26#2100,hp#1240|atk#58|armP#0.02,pet_skill_3012
3012002,2,3012003,3012001,1#410760|27#84,27#79|26#2100,hp#2481|atk#116|armP#0.02,pet_skill_3012
3012003,3,3012004,3012001,1#453870|27#90,27#163|26#2100,hp#3721|atk#175|armP#0.02,pet_skill_3012
3012004,4,3012005,3012001,1#483730|27#95,27#253|26#2100,hp#4962|atk#233|armP#0.04,pet_skill_3012
3012005,5,3012006,3012001,1#513590|27#102,27#348|26#2100,hp#6202|atk#291|armP#0.04,pet_skill_3012
3012006,6,3012007,3012001,1#543450|27#107,27#450|26#2100,hp#7443|atk#349|armP#0.04,pet_skill_3012
3012007,7,3012008,3012001,1#591225|27#113,27#557|26#2100,hp#8683|atk#407|armP#0.06,pet_skill_3012
3012008,8,3012009,3012001,1#622018|27#119,27#670|26#2100,hp#9924|atk#466|armP#0.06,pet_skill_3012
3012009,9,3012010,3012001,1#652811|27#125,27#789|26#2100,hp#11164|atk#524|armP#0.06,pet_skill_3012
3012010,10,3012011,3012001,1#704319|27#130,27#914|26#2100,hp#12405|atk#582|armP#0.08,pet_skill_3012
3012011,11,3012012,3012001,1#736046|27#137,27#1044|26#2100,hp#13645|atk#640|armP#0.08,pet_skill_3012
3012012,12,3012013,3012001,1#767772|27#142,27#1181|26#2100,hp#14886|atk#699|armP#0.08,pet_skill_3012
3012013,13,3012014,3012001,1#823012|27#148,27#1323|26#2100,hp#16126|atk#757|armP#0.1,pet_skill_3012
3012014,14,3012015,3012001,1#855672|27#154,27#1471|26#2100,hp#17367|atk#815|armP#0.1,pet_skill_3012
3012015,15,3012016,3012001,1#888331|27#160,27#1625|26#2100,hp#18607|atk#873|armP#0.1,pet_skill_3012
3012016,16,3012017,3012001,1#920990|27#165,27#1785|26#2100,hp#19848|atk#931|armP#0.12,pet_skill_3012
3012017,17,3012018,3012001,1#980896|27#172,27#1950|26#2100,hp#21088|atk#990|armP#0.12,pet_skill_3012
3012018,18,3012019,3012001,1#1014489|27#177,27#2122|26#2100,hp#22328|atk#1048|armP#0.12,pet_skill_3012
3012019,19,3012020,3012001,1#1048081|27#183,27#2299|26#2100,hp#23569|atk#1106|armP#0.14,pet_skill_3012
3012020,20,3012021,3012001,1#1111720|27#189,27#2482|26#2100,hp#24809|atk#1164|armP#0.14,pet_skill_3012
3012021,21,3012022,3012001,1#1146245|27#195,27#2671|26#2100,hp#26050|atk#1222|armP#0.14,pet_skill_3012
3012022,22,3012023,3012001,1#1180771|27#200,27#2866|26#2100,hp#27290|atk#1281|armP#0.16,pet_skill_3012
3012023,23,3012024,3012001,1#1248142|27#207,27#3066|26#2100,hp#28531|atk#1339|armP#0.16,pet_skill_3012
3012024,24,3012025,3012001,1#1283600|27#212,27#3273|26#2100,hp#29771|atk#1397|armP#0.16,pet_skill_3012
3012025,25,3012026,3012001,1#1319059|27#218,27#3485|26#2100,hp#31012|atk#1455|armP#0.18,pet_skill_3012
3012026,26,3012027,3012001,1#1354517|27#225,27#3703|26#2100,hp#32252|atk#1514|armP#0.18,pet_skill_3012
3012027,27,3012028,3012001,1#1426554|27#230,27#3928|26#2100,hp#33493|atk#1572|armP#0.18,pet_skill_3012
3012028,28,3012029,3012001,1#1462946|27#235,27#4158|26#2100,hp#34733|atk#1630|armP#0.2,pet_skill_3012
3012029,29,3012030,3012001,1#1499338|27#241,27#4393|26#2100,hp#35974|atk#1688|armP#0.2,pet_skill_3012
3012030,30,3012031,3012001,1#1539338|27#265,27#4634|26#2100,hp#37590|atk#1764|armP#0.2,pet_skill_3012
3012031,31,3012032,3012001,1#1579338|27#292,27#4899|26#2100,hp#41349|atk#1808|armP#0.2,pet_skill_3012
3012032,32,3012033,3012001,1#1619338|27#321,27#5191|26#2100,hp#45108|atk#1852|armP#0.2,pet_skill_3012
3012033,33,3012034,3012001,1#1659338|27#353,27#5512|26#2100,hp#48867|atk#1896|armP#0.2,pet_skill_3012
3012034,34,3012035,3012001,1#1699338|27#388,27#5865|26#2100,hp#52626|atk#1940|armP#0.21,pet_skill_3012
