id,name,items,pos,group,styles,unlock_style_type,unlock_styles,dress_shard,show_in_guide
101250,-1,3101495|3101496|3101497|3101498|3101499|3101500,5,50,1025001|1025002,1,1025001|1025002,,
101251,-1,3101501|3101502|3101503|3101504|3101505|3101506,1,51,1025101|1025102,1,1025101|1025102,,
101252,-1,3101507|3101508|3101509|3101510|3101511|3101512,2,51,1025201|1025202,1,1025201|1025202,,
101253,-1,3101513|3101514|3101515|3101516|3101517|3101518,3,51,1025301|1025302,1,1025301|1025302,,
101254,-1,3101519|3101520|3101521|3101522|3101523|3101524,4,51,1025401|1025402,1,1025401|1025402,,
101255,-1,3101525|3101526|3101527|3101528|3101529|3101530,5,51,1025501|1025502,1,1025501|1025502,,
101256,-1,3101531|3101532|3101533|3101534|3101535|3101536,1,52,1025601|1025602,1,1025601|1025602,,
101257,-1,3101537|3101538|3101539|3101540|3101541|3101542,2,52,1025701|1025702,1,1025701|1025702,,
101258,-1,3101543|3101544|3101545|3101546|3101547|3101548,3,52,1025801|1025802,1,1025801|1025802,,
101259,-1,3101549|3101550|3101551|3101552|3101553|3101554,4,52,1025901|1025902,1,1025901|1025902,,
101260,-1,3101555|3101556|3101557|3101558|3101559|3101560,5,52,1026001|1026002,1,1026001|1026002,,
101261,-1,3101561|3101562|3101563|3101564|3101565|3101566,1,53,1026101|1026102,1,1026101|1026102,,
101262,-1,3101567|3101568|3101569|3101570|3101571|3101572,2,53,1026201|1026202,1,1026201|1026202,,
101263,-1,3101573|3101574|3101575|3101576|3101577|3101578,3,53,1026301|1026302,1,1026301|1026302,,
101264,-1,3101579|3101580|3101581|3101582|3101583|3101584,4,53,1026401|1026402,1,1026401|1026402,,
101265,-1,3101585|3101586|3101587|3101588|3101589|3101590,5,53,1026501|1026502,1,1026501|1026502,,
101266,-1,3101591|3101592|3101593|3101594|3101595|3101596,1,54,1026601|1026602,1,1026601|1026602,,
101267,-1,3101597|3101598|3101599|3101600|3101601|3101602,2,54,1026701|1026702,1,1026701|1026702,,
101268,-1,3101603|3101604|3101605|3101606|3101607|3101608,3,54,1026801|1026802,1,1026801|1026802,,
101269,-1,3101609|3101610|3101611|3101612|3101613|3101614,4,54,1026901|1026902,1,1026901|1026902,,
101270,-1,3101615|3101616|3101617|3101618|3101619|3101620,5,54,1027001|1027002,1,1027001|1027002,,
101271,-1,3101621|3101622|3101623|3101624|3101625|3101626,1,55,1027101|1027102,1,1027101|1027102,,
101272,-1,3101627|3101628|3101629|3101630|3101631|3101632,2,55,1027201|1027202,1,1027201|1027202,,
101273,-1,3101633|3101634|3101635|3101636|3101637|3101638,3,55,1027301|1027302,1,1027301|1027302,,
